CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
33205;0;285;56;9;0;3670 
33583;0;289;94;14;0;3671 
33213;0;290;67;9;0;3669 
29923;0;343;52;8;0;3668 
33271;0;285;78;17;0;3669 
33278;0;288;87;13;0;3673 
29986;0;344;58;8;0;3668 
30370;0;415;67;9;0;3670 
33262;0;292;67;23;0;3671 
33208;0;287;66;17;0;3671 
33286;0;286;69;12;0;3671 
30310;0;345;38;18;0;3671 
33269;0;290;114;8;0;3671 
34647;0;287;55;8;0;3671 
33270;0;291;71;17;0;3671 
33239;0;290;75;13;0;3673 
33422;0;288;79;13;0;3671 
33326;0;290;95;8;0;3671 
30515;0;354;682;12;0;3666 
33238;0;290;53;9;0;3670 
30486;0;347;626;13;0;3667 
30328;0;354;429;13;0;3666 
33254;0;284;66;12;0;3671 
29928;0;346;66;17;0;3665 
33379;0;287;68;13;0;3671 
33219;0;288;63;13;0;3671 
30120;0;342;101;16;0;3669 
33219;0;290;70;13;0;3673 
30238;0;345;41;18;0;3666 
29880;0;345;58;29;0;3665 
30534;0;361;630;11;0;3667 
32080;0;348;95;17;0;3671 
33241;0;290;90;9;0;3671 
33197;0;289;35;8;0;3671 
33352;0;294;38;13;0;3673 
33261;0;289;34;8;0;3673 
29887;0;337;68;12;0;3664 
33278;0;304;60;10;0;3671 
33278;0;284;82;28;0;3671 
29879;0;346;69;16;0;3667 
33206;0;285;58;14;0;3671 
33442;0;291;69;13;0;3673 
33304;0;289;100;13;0;3672 
29885;0;347;41;22;0;3665 
33534;0;282;87;28;0;3671 
29918;0;350;75;15;0;3666 
29973;0;361;68;12;0;3666 
32211;0;354;115;16;0;3670 
30296;0;344;472;9;0;3668 
33358;0;296;417;16;0;3670 
33246;0;292;85;23;0;3671 
33251;0;291;98;13;0;3673 
30784;0;361;142;17;0;3666 
30080;0;342;105;8;0;3665 
29884;0;345;70;8;0;3667 
33437;0;285;34;8;0;3671 
32126;0;346;66;13;0;3666 
32650;0;322;123;17;0;3671 
33259;0;288;55;8;0;3671 
30011;0;354;45;14;0;3667 
33277;0;297;48;23;0;3673 
33232;0;288;79;23;0;3670 
33208;0;293;48;22;0;3671 
33254;0;287;54;16;0;3669 
33283;0;291;34;9;0;3669 
33231;0;288;48;17;0;3669 
30509;0;347;637;13;0;3667 
29850;0;346;38;16;0;3667 
34067;0;296;48;23;0;3671 
29977;0;360;60;12;0;3667 
30432;0;345;94;16;0;3669 
33271;0;292;55;11;0;3671 
33049;0;298;37;18;0;3670 
33290;0;294;108;25;0;3673 
33225;0;297;59;13;0;3673 
33295;0;283;96;13;0;3671 
29900;0;347;45;8;0;3667 
33277;0;296;77;13;0;3669 
33230;0;289;71;8;0;3671 
29894;0;355;56;16;0;3665 
33263;0;293;64;17;0;3673 
33259;0;292;73;9;0;3669 
33198;0;295;51;9;0;3671 
33282;0;294;115;13;0;3672 
33211;0;291;48;23;0;3671 
29919;0;344;85;18;0;3665 
33679;0;278;107;13;0;3671 
33211;0;294;48;23;0;3672 
33936;0;291;60;17;0;3671 
29918;0;350;91;8;0;3667 
30702;0;354;697;13;0;3669 
33476;0;299;666;13;0;3670 
30017;0;410;110;23;0;3667 
33334;0;295;115;23;0;3673 
33503;0;288;48;16;0;3671 
33261;0;293;63;8;0;3673 
33560;0;285;88;16;0;3671 
33273;0;285;76;12;0;3671 
33248;0;292;105;10;0;3671 
29901;0;343;71;13;0;3666 
33194;0;293;34;11;0;3669 
33241;0;286;51;8;0;3671 
33230;0;300;48;23;0;3672 
33198;0;288;56;12;0;3671 
29876;0;353;52;23;0;3667 
30323;0;351;440;8;0;3667 
30727;0;344;98;14;0;3668 
30192;0;350;115;22;0;3671 
30073;0;341;200;9;0;3665 
33488;0;283;72;9;0;3671 
31473;0;347;98;16;0;3666 
33296;0;285;100;13;0;3669 
33258;0;289;91;8;0;3669 
30001;0;346;84;13;0;3666 
30503;0;347;620;13;0;3667 
33231;0;300;71;10;0;3672 
29880;0;346;72;12;0;3667 
33289;0;291;75;13;0;3671 
33338;0;287;41;10;0;3671 
33257;0;295;45;12;0;3673 
32878;0;320;106;17;0;3671 
30367;0;348;74;17;0;3669 
30514;0;354;635;14;0;3668 
33298;0;288;92;8;0;3671 
33240;0;285;55;8;0;3668 
33264;0;286;114;25;0;3671 
33273;0;295;51;17;0;3671 
29998;0;354;58;9;0;3668 
33499;0;283;54;9;0;3671 
29914;0;349;63;28;0;3666 
33218;0;287;70;20;0;3669 
29896;0;348;55;8;0;3667 
33206;0;287;64;13;0;3670 
29912;0;344;94;14;0;3666 
29930;0;348;77;12;0;3667 
33223;0;291;50;24;0;3669 
30595;0;349;304;10;0;3668 
29922;0;347;69;10;0;3668 
32780;0;351;1121;9;0;3668 
30045;0;350;69;12;0;3670 
33265;0;293;48;16;0;3673 
33286;0;290;85;12;0;3671 
33233;0;287;94;14;0;3671 
29937;0;346;99;13;0;3666 
30105;0;355;54;8;0;3670 
33287;0;292;66;12;0;3671 
33226;0;297;52;13;0;3674 
33303;0;284;97;13;0;3671 
33299;0;289;58;8;0;3671 
29929;0;345;68;23;0;3666 
29883;0;344;73;17;0;3667 
33231;0;284;41;16;0;3671 
30269;0;345;52;17;0;3668 
33247;0;295;55;12;0;3672 
33250;0;288;39;14;0;3671 
33212;0;287;67;14;0;3671 
29985;0;351;92;15;0;3669 
31507;0;1402;584;9;0;3664 
33319;0;289;50;8;0;3671 
29899;0;349;57;11;0;3667 
29925;0;344;74;15;0;3668 
30941;0;355;643;21;0;3669 
33304;0;289;93;9;0;3671 
29952;0;361;110;8;0;3668 
29877;0;351;58;9;0;3668 
30090;0;344;61;13;0;3669 
30512;0;345;612;17;0;3668 
33260;0;296;99;22;0;3671 
33257;0;290;105;9;0;3670 
33268;0;291;58;23;0;3671 
29916;0;348;93;18;0;3667 
33247;0;294;68;13;0;3673 
32720;0;307;103;23;0;3671 
33349;0;287;54;29;0;3671 
33309;0;297;71;23;0;3671 
33244;0;284;90;12;0;3671 
30265;0;354;374;12;0;3667 
33245;0;298;80;13;0;3673 
29888;0;348;45;18;0;3667 
33193;0;289;33;8;0;3673 
29928;0;348;79;27;0;3668 
33238;0;296;50;12;0;3673 
32469;0;346;748;13;0;3667 
30219;0;355;58;17;0;3670 
33242;0;293;54;9;0;3671 
29936;0;347;77;8;0;3668 
33423;0;290;71;10;0;3673 
33338;0;350;111;8;0;3673 
33250;0;290;67;9;0;3669 
31075;0;345;1217;13;0;3667 
30557;0;346;659;12;0;3665 
29913;0;352;60;8;0;3666 
33254;0;291;106;9;0;3673 
29935;0;344;55;8;0;3668 
33232;0;285;68;17;0;3671 
33309;0;287;82;13;0;3671 
29972;0;349;45;12;0;3668 
33266;0;282;119;13;0;3671 
33215;0;287;71;10;0;3669 
33282;0;294;61;17;0;3673 
30082;0;348;226;28;0;3667 
30506;0;349;58;12;0;3667 
30093;0;360;127;17;0;3668 
33269;0;290;79;16;0;3670 
29966;0;350;58;23;0;3669 
30576;0;348;606;18;0;3670 
30523;0;348;675;17;0;3667 
32327;0;333;89;24;0;3672 
33266;0;295;54;23;0;3671 
34559;0;286;51;17;0;3670 
33311;0;291;94;8;0;3671 
30040;0;345;226;17;0;3667 
33411;0;356;106;9;0;3672 
29897;0;347;58;8;0;3667 
30092;0;346;38;9;0;3668 
30510;0;344;589;19;0;3666 
29920;0;353;90;15;0;3668 
30237;0;353;327;26;0;3667 
33282;0;287;71;9;0;3671 
30610;0;360;711;8;0;3668 
30359;0;348;300;12;0;3667 
33254;0;289;48;9;0;3668 
33313;0;346;105;23;0;3668 
30695;0;346;672;9;0;3669 
29908;0;347;74;13;0;3668 
29917;0;350;55;9;0;3668 
30325;0;345;291;17;0;3665 
33008;0;313;73;17;0;3668 
33202;0;285;66;9;0;3670 
29908;0;352;69;8;0;3668 
33236;0;284;71;17;0;3671 
29890;0;345;81;13;0;3665 
30308;0;343;75;12;0;3667 
30136;0;357;58;17;0;3668 
30142;0;354;317;8;0;3668 
33402;0;287;54;16;0;3671 
33245;0;294;75;8;0;3673 
30720;0;349;625;16;0;3667 
32826;0;319;147;17;0;3670 
31114;0;354;1222;9;0;3669 
30546;0;349;649;14;0;3668 
29891;0;344;86;9;0;3665 
33590;0;300;472;8;0;3670 
31909;0;340;95;17;0;3668 
29899;0;346;54;8;0;3668 
30309;0;348;79;13;0;3671 
29904;0;348;73;12;0;3667 
29979;0;345;136;12;0;3665 
33225;0;301;41;12;0;3673 
33187;0;285;55;8;0;3669 
30389;0;349;530;8;0;3667 
33219;0;298;41;24;0;3672 
33671;0;381;106;8;0;3670 
29874;0;344;55;17;0;3665 
33280;0;286;75;13;0;3669 
33269;0;290;42;18;0;3671 
33373;0;287;56;12;0;3671 
30640;0;357;100;17;0;3666 
33281;0;304;139;19;0;3670 
29886;0;347;50;13;0;3667 
30232;0;346;76;13;0;3668 
33222;0;289;58;9;0;3670 
29920;0;348;103;23;0;3667 
33257;0;289;115;14;0;3671 
33268;0;285;74;17;0;3668 
33022;0;299;66;13;0;3670 
29919;0;353;72;10;0;3666 
33220;0;286;68;8;0;3671 
29920;0;345;116;9;0;3666 
29917;0;345;68;9;0;3666 
29901;0;349;59;13;0;3667 
33262;0;288;88;13;0;3671 
33241;0;301;66;23;0;3673 
33237;0;285;85;13;0;3671 
30719;0;352;863;10;0;3668 
33470;0;288;69;23;0;3671 
33531;0;287;73;14;0;3669 
30105;0;358;69;27;0;3670 
33243;0;288;48;9;0;3671 
30482;0;347;607;29;0;3667 
33190;0;289;34;23;0;3671 
33487;0;283;63;8;0;3670 
33263;0;292;65;9;0;3673 
30034;0;354;106;13;0;3665 
33377;0;289;86;8;0;3669 
33263;0;304;48;12;0;3671 
33201;0;289;50;8;0;3671 
33245;0;285;47;9;0;3671 
33212;0;289;52;17;0;3671 
33296;0;290;86;23;0;3671 
29912;0;355;69;13;0;3667 
35241;0;295;2401;30;0;3669 
29904;0;344;85;15;0;3667 
30434;0;363;134;17;0;3669 
29924;0;346;93;13;0;3665 
33200;0;292;48;9;0;3671 
33197;0;287;34;8;0;3671 
33286;0;294;69;22;0;3671 
33787;0;284;112;15;0;3671 
29928;0;355;59;12;0;3667 
30572;0;354;676;9;0;3667 
30243;0;351;230;11;0;3666 
29939;0;350;90;15;0;3668 
33237;0;294;69;12;0;3673 
29987;0;352;104;23;0;3667 
33375;0;291;69;13;0;3672 
30687;0;345;284;16;0;3668 
30465;0;344;606;15;0;3667 
29894;0;352;57;12;0;3668 
33543;0;292;86;22;0;3671 
30237;0;346;424;17;0;3666 
29902;0;347;64;13;0;3664 
30103;0;347;82;14;0;3669 
29895;0;346;59;16;0;3667 
33271;0;292;93;28;0;3669 
30184;0;346;312;8;0;3667 
29901;0;351;79;13;0;3667 
29879;0;351;59;9;0;3666 
33221;0;291;55;13;0;3673 
30034;0;347;144;17;0;3666 
31224;0;347;1335;13;0;3670 
33206;0;285;72;9;0;3671 
33270;0;284;66;8;0;3671 
33223;0;292;48;28;0;3673 
30517;0;355;620;9;0;3668 
33491;0;287;105;9;0;3669 
30571;0;365;577;16;0;3669 
29901;0;349;67;8;0;3668 
31119;0;344;1229;12;0;3665 
33193;0;288;54;9;0;3669 
33327;0;294;114;13;0;3673 
32939;0;304;114;12;0;3671 
33243;0;291;35;17;0;3671 
33225;0;292;61;8;0;3671 
33638;0;289;71;14;0;3673 
33244;0;290;86;14;0;3673 
30049;0;345;215;17;0;3665 
29905;0;348;75;9;0;3667 
33223;0;288;78;17;0;3671 
33326;0;292;51;12;0;3673 
33272;0;297;96;12;0;3673 
33255;0;287;52;17;0;3671 
30199;0;345;58;9;0;3668 
29947;0;345;79;28;0;3664 
29898;0;343;55;8;0;3667 
30035;0;346;152;12;0;3666 
30581;0;349;747;9;0;3668 
29922;0;354;75;9;0;3669 
33241;0;290;50;17;0;3671 
29978;0;345;134;13;0;3667 
33262;0;291;105;8;0;3673 
30759;0;344;668;13;0;3667 
30341;0;344;96;13;0;3667 
30535;0;354;656;17;0;3665 
30919;0;347;735;13;0;3668 
29891;0;345;73;13;0;3667 
30345;0;351;77;17;0;3670 
32610;0;301;57;13;0;3670 
33587;0;282;69;13;0;3671 
29859;0;348;55;8;0;3667 
33226;0;295;51;28;0;3672 
30448;0;348;367;17;0;3667 
31474;0;352;154;21;0;3669 
30579;0;344;713;14;0;3667 
33517;0;304;482;23;0;3670 
33305;0;281;49;30;0;3669 
33653;0;286;60;13;0;3669 
30290;0;345;309;9;0;3669 
33257;0;288;59;9;0;3671 
33373;0;292;97;8;0;3671 
33489;0;296;95;13;0;3674 
30097;0;351;222;23;0;3666 
30493;0;353;610;8;0;3665 
31052;0;347;207;8;0;3667 
33259;0;285;57;8;0;3671 
29894;0;345;61;16;0;3665 
30127;0;350;81;13;0;3668 
33212;0;293;65;5;0;3671 
29882;0;344;74;13;0;3667 
33272;0;289;80;9;0;3671 
30773;0;346;430;8;0;3666 
33256;0;289;57;16;0;3671 
33615;0;285;71;17;0;3672 
33224;0;292;65;18;0;3671 
33323;0;288;41;17;0;3671 
33286;0;289;48;9;0;3671 
30468;0;348;579;13;0;3666 
30172;0;345;70;13;0;3667 
30270;0;346;163;17;0;3668 
33188;0;289;34;9;0;3671 
33215;0;288;60;12;0;3671 
29901;0;345;80;12;0;3666 
30275;0;345;366;10;0;3668 
33272;0;296;91;13;0;3671 
32054;0;345;1313;9;0;3667 
29966;0;350;69;22;0;3667 
29897;0;349;55;9;0;3667 
33044;0;296;168;13;0;3671 
33246;0;287;93;17;0;3671 
31230;0;345;695;13;0;3666 
29927;0;345;103;13;0;3666 
30206;0;350;173;23;0;3670 
33253;0;292;57;8;0;3671 
33000;0;296;122;13;0;3670 
33325;0;283;107;26;0;3669 
33258;0;288;75;13;0;3671 
30523;0;348;649;23;0;3667 
30458;0;348;611;12;0;3667 
29914;0;345;58;16;0;3667 
30509;0;347;647;17;0;3667 
30245;0;349;61;9;0;3668 
33207;0;285;58;12;0;3671 
29926;0;351;81;13;0;3667 
33375;0;290;54;22;0;3671 
30033;0;374;104;17;0;3669 
33304;0;289;77;8;0;3671 
29935;0;347;78;12;0;3668 
29900;0;348;61;21;0;3665 
33874;0;287;58;8;0;3671 
29908;0;342;97;12;0;3665 
33262;0;294;72;17;0;3673 
30604;0;351;673;13;0;3667 
29890;0;349;58;9;0;3666 
30874;0;347;369;8;0;3667 
33412;0;296;206;12;0;3671 
33301;0;296;54;13;0;3674 
29889;0;349;70;9;0;3667 
30348;0;349;466;28;0;3666 
33222;0;290;74;12;0;3671 
30114;0;345;256;12;0;3667 
31549;0;1330;747;9;0;3667 
33296;0;288;86;10;0;3671 
33262;0;286;58;13;0;3671 
29930;0;347;72;13;0;3667 
29903;0;364;41;13;0;3668 
33284;0;290;113;26;0;3671 
29904;0;344;58;8;0;3666 
30467;0;347;605;18;0;3666 
30144;0;348;79;16;0;3670 
30533;0;344;658;26;0;3666 
33350;0;284;108;8;0;3671 
33219;0;288;52;12;0;3671 
33536;0;288;48;16;0;3672 
30494;0;344;661;17;0;3665 
29922;0;344;82;12;0;3665 
29902;0;353;52;12;0;3668 
33252;0;299;86;9;0;3671 
33238;0;288;51;17;0;3668 
30461;0;345;651;12;0;3666 
30065;0;351;226;10;0;3668 
33246;0;291;53;10;0;3669 
30753;0;346;834;15;0;3666 
29891;0;349;73;17;0;3665 
33243;0;292;54;9;0;3671 
29878;0;343;44;12;0;3665 
30624;0;353;732;12;0;3668 
33262;0;290;105;25;0;3671 
33265;0;285;69;17;0;3669 
33201;0;293;48;9;0;3671 
33219;0;286;68;17;0;3671 
30445;0;347;479;12;0;3668 
33291;0;286;68;13;0;3671 
33226;0;298;52;8;0;3673 
29943;0;353;92;9;0;3666 
29907;0;349;62;22;0;3665 
31248;0;355;77;16;0;3668 
30165;0;359;107;23;0;3666 
29870;0;349;55;8;0;3667 
29889;0;348;62;12;0;3666 
33220;0;289;67;9;0;3671 
30499;0;345;592;16;0;3667 
29944;0;349;77;23;0;3668 
29863;0;348;58;9;0;3667 
33272;0;292;75;8;0;3671 
29865;0;344;59;9;0;3665 
31741;0;337;120;17;0;3669 
33236;0;286;74;8;0;3671 
29903;0;346;65;16;0;3665 
30156;0;346;43;8;0;3667 
33407;0;301;50;12;0;3671 
33425;0;291;105;8;0;3671 
33292;0;285;48;10;0;3671 
31880;0;351;80;13;0;3669 
29917;0;346;75;17;0;3668 
30437;0;348;605;17;0;3666 
33255;0;290;78;16;0;3669 
30102;0;344;219;9;0;3669 
33265;0;287;63;16;0;3671 
33564;0;292;65;28;0;3673 
30292;0;347;89;13;0;3668 
30025;0;349;70;9;0;3667 
29889;0;351;58;11;0;3667 
33453;0;288;71;13;0;3671 
29896;0;347;42;13;0;3668 
29980;0;392;116;9;0;3666 
33221;0;284;39;14;0;3669 
33493;0;290;67;28;0;3671 
33302;0;291;66;27;0;3671 
29880;0;346;52;8;0;3667 
33241;0;287;56;28;0;3671 
33370;0;358;94;26;0;3672 
29902;0;355;55;9;0;3668 
33253;0;283;57;13;0;3668 
29983;0;347;109;12;0;3668 
30304;0;345;426;9;0;3667 
29967;0;357;70;17;0;3667 
33578;0;291;71;8;0;3673 
29943;0;358;71;23;0;3667 
29878;0;344;71;13;0;3667 
33235;0;292;72;8;0;3671 
33411;0;288;102;26;0;3671 
33204;0;288;50;23;0;3671 
33273;0;288;60;13;0;3671 
33274;0;290;58;12;0;3671 
29897;0;346;56;12;0;3667 
33328;0;287;105;23;0;3671 
30386;0;370;231;8;0;3668 
29958;0;354;58;8;0;3669 
33256;0;285;54;27;0;3669 
33401;0;286;51;16;0;3671 
33272;0;290;70;23;0;3668 
33258;0;296;50;17;0;3671 
29901;0;346;62;8;0;3667 
29963;0;356;117;14;0;3666 
33256;0;290;64;13;0;3671 
33257;0;291;78;16;0;3673 
33274;0;282;79;13;0;3671 
33250;0;285;72;8;0;3671 
30528;0;343;656;12;0;3666 
30513;0;364;126;24;0;3668 
33234;0;288;85;8;0;3671 
33285;0;344;51;9;0;3671 
30472;0;352;595;8;0;3666 
33324;0;286;90;14;0;3671 
29891;0;345;71;9;0;3667 
33356;0;293;52;28;0;3671 
29914;0;347;76;9;0;3668 
31040;0;356;575;23;0;3669 
33480;0;287;54;17;0;3668 
30144;0;349;270;22;0;3667 
31118;0;365;1117;9;0;3666 
33198;0;285;61;10;0;3671 
33248;0;288;41;22;0;3669 
29889;0;356;76;8;0;3667 
33552;0;292;92;26;0;3673 
30539;0;347;669;23;0;3667 
30502;0;352;597;23;0;3665 
33291;0;291;75;13;0;3671 
30466;0;347;579;17;0;3668 
32186;0;326;94;17;0;3669 
33229;0;287;87;13;0;3671 
33265;0;290;71;8;0;3669 
33357;0;303;145;13;0;3671 
29919;0;350;62;23;0;3667 
33310;0;285;71;9;0;3671 
33275;0;291;92;13;0;3673 
33239;0;285;50;8;0;3671 
30151;0;346;266;28;0;3667 
31448;0;346;1411;16;0;3669 
33263;0;292;71;17;0;3673 
33252;0;287;86;17;0;3671 
29950;0;352;76;23;0;3668 
33245;0;289;65;28;0;3671 
33472;0;288;49;9;0;3671 
30783;0;376;76;17;0;3668 
30221;0;346;316;12;0;3665 
33263;0;294;34;23;0;3673 
33264;0;291;54;16;0;3671 
29904;0;351;38;17;0;3668 
33263;0;290;106;22;0;3671 
33422;0;287;57;8;0;3671 
29911;0;353;61;12;0;3669 
30782;0;357;722;17;0;3669 
33500;0;286;48;16;0;3669 
33401;0;343;93;29;0;3669 
33213;0;293;57;13;0;3673 
29906;0;343;66;13;0;3667 
33338;0;291;49;23;0;3673 
30570;0;344;668;13;0;3667 
33433;0;285;49;18;0;3671 
30895;0;346;58;16;0;3667 
31339;0;1218;601;14;0;3666 
33212;0;284;58;9;0;3671 
30509;0;349;615;12;0;3667 
33294;0;297;75;14;0;3674 
33283;0;289;120;8;0;3671 
31390;0;349;679;8;0;3669 
30465;0;352;583;8;0;3668 
30431;0;353;551;22;0;3667 
33249;0;285;65;9;0;3671 
30666;0;373;710;16;0;3667 
33174;0;289;34;9;0;3671 
30528;0;351;701;23;0;3667 
33470;0;282;57;12;0;3671 
30612;0;354;665;24;0;3668 
33398;0;281;84;11;0;3671 
30212;0;345;325;16;0;3667 
33269;0;283;54;8;0;3671 
33318;0;285;59;14;0;3671 
30470;0;344;615;9;0;3667 
33483;0;518;93;8;0;3671 
33256;0;297;30;8;0;3673 
31205;0;336;139;22;0;3667 
33239;0;293;75;12;0;3673 
33243;0;288;93;8;0;3671 
33254;0;293;99;23;0;3671 
33216;0;287;64;26;0;3669 
30508;0;346;602;8;0;3665 
29917;0;345;86;15;0;3667 
33273;0;303;98;9;0;3673 
30791;0;1074;113;12;0;3667 
33265;0;288;61;9;0;3672 
33305;0;293;81;23;0;3671 
30580;0;354;392;17;0;3668 
29892;0;344;48;8;0;3665 
34201;0;285;80;15;0;3669 
30496;0;344;651;13;0;3667 
30671;0;350;608;14;0;3670 
33379;0;297;65;23;0;3673 
33431;0;312;96;12;0;3669 
33326;0;289;54;9;0;3671 
29900;0;350;70;8;0;3667 
30050;0;346;73;9;0;3666 
33260;0;291;95;15;0;3673 
33277;0;342;80;15;0;3671 
33377;0;288;89;13;0;3671 
33254;0;288;65;18;0;3671 
33353;0;282;56;13;0;3669 
30316;0;450;102;8;0;3668 
33256;0;296;99;8;0;3671 
33249;0;305;49;9;0;3671 
30898;0;357;657;21;0;3669 
