CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
546319;0;9025;3;3;558;0 
542701;0;9025;3;3;558;0 
544548;0;9025;3;3;559;0 
542215;0;9025;3;3;556;0 
546062;0;9025;3;3;560;0 
543374;0;9025;3;3;558;0 
557174;0;9025;4;4;562;0 
541312;0;9025;3;3;560;0 
544275;0;9025;3;3;557;0 
542215;0;9025;3;3;555;0 
541904;0;9025;3;3;555;0 
543518;0;9025;3;3;567;0 
545711;0;9025;3;3;553;0 
551706;0;9025;3;3;564;0 
544835;0;9025;3;3;556;0 
550832;0;9025;3;3;552;0 
542815;0;9025;3;3;564;0 
544765;0;9025;3;3;558;0 
545992;0;9025;3;3;557;0 
546100;0;9025;3;3;554;0 
542181;0;9025;3;3;552;0 
545343;0;9025;3;3;560;0 
542243;0;9025;3;3;560;0 
547548;0;9025;3;3;556;0 
541141;1;9025;3;3;561;0 
542744;0;9025;3;3;554;0 
542372;0;9025;3;3;557;0 
555168;0;9025;3;3;566;0 
542468;0;9025;3;3;564;0 
543483;0;9025;3;3;557;0 
541858;0;9025;3;3;564;0 
549971;0;9026;3;3;561;0 
542302;0;9025;3;3;556;0 
546703;0;9025;3;3;550;0 
544441;0;9025;3;3;556;0 
545740;0;9025;3;3;561;0 
563769;0;9025;3;3;558;0 
545514;1;9025;3;3;562;0 
542332;0;9025;3;3;553;0 
542875;0;9026;3;3;555;0 
554912;0;9025;3;3;558;0 
545164;0;9025;3;3;552;0 
544159;0;9025;3;3;559;0 
543620;0;9025;3;3;550;0 
542208;0;9025;3;3;558;0 
542360;0;9025;3;3;560;0 
542860;0;9025;3;3;556;0 
547219;0;9025;3;3;557;0 
544034;1;9025;3;3;554;0 
542668;0;9025;3;3;558;0 
545295;0;9025;3;3;563;0 
559011;0;9025;3;3;561;0 
545147;0;9025;3;3;554;0 
543778;0;9025;3;3;554;0 
544121;0;9025;3;3;555;0 
544798;0;9025;3;3;558;0 
542279;0;9025;3;3;555;0 
542448;0;9025;3;3;555;0 
555934;0;9025;3;3;557;0 
542700;0;9025;3;3;553;0 
542862;0;9025;3;3;557;0 
543051;0;9025;3;3;556;0 
546900;0;9025;3;3;555;0 
541940;0;9025;3;3;557;0 
542050;0;9025;3;3;556;0 
542313;0;9025;3;3;562;0 
542242;0;9025;3;3;559;0 
544237;0;9025;3;3;560;0 
542478;0;9025;3;3;567;0 
552458;0;9025;3;3;555;0 
541469;0;9025;3;3;559;0 
544890;0;9025;3;3;564;0 
542159;0;9025;3;3;551;0 
542695;0;9025;3;3;563;0 
542782;0;9025;3;3;553;0 
545118;0;9025;3;3;555;0 
542769;0;9025;3;3;569;0 
541704;0;9025;3;3;558;0 
544943;0;9025;3;3;560;0 
542588;0;9025;3;3;556;0 
549277;0;9025;3;3;557;0 
544757;0;9025;3;3;560;0 
543070;0;9025;3;3;559;0 
543231;0;9025;3;3;576;0 
543037;0;9025;2;2;560;0 
542588;0;9025;3;3;554;0 
544737;0;9025;3;3;563;0 
544443;0;9025;3;3;559;0 
545235;0;9025;3;3;560;0 
542455;0;9025;3;3;559;0 
542283;0;9025;3;3;556;0 
542086;0;9025;3;3;563;0 
545108;1;9025;3;3;561;0 
542336;0;9025;3;3;557;0 
553544;0;9025;3;3;556;0 
546541;0;9025;3;3;567;0 
544657;0;9025;3;3;557;0 
544485;0;9025;3;3;554;0 
542376;0;9025;3;3;560;0 
542397;0;9025;3;3;555;0 
542823;0;9025;3;3;562;0 
560107;0;9025;3;3;556;0 
545061;0;9025;3;3;560;0 
542708;0;9025;3;3;562;0 
544455;0;9025;3;3;561;0 
550839;0;9025;3;3;562;0 
546163;0;9025;3;3;555;0 
545094;0;9025;3;3;556;0 
545646;0;9025;3;3;567;0 
545454;0;9025;3;3;553;0 
545167;0;9025;3;3;557;0 
542302;0;9025;3;3;557;0 
547863;0;9025;3;3;552;0 
544342;0;9025;3;3;558;0 
542062;0;9025;3;3;559;0 
543995;0;9025;3;3;557;0 
543227;1;9025;3;3;557;0 
542489;0;9025;3;3;551;0 
542819;0;9025;3;3;555;0 
