CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
542417;0;0;1949;2734;61;0 
544694;0;0;1760;3395;55;0 
543902;0;0;2050;3427;69;0 
542264;0;0;1854;3087;60;0 
549692;0;0;2073;6806;61;0 
545545;0;0;1756;3635;56;0 
546749;0;0;1743;6803;68;0 
541738;0;0;1739;2124;58;0 
557147;0;0;2130;6559;71;0 
543782;0;0;1757;4992;57;0 
541828;0;0;1895;2599;63;0 
543086;0;0;1725;2988;70;0 
542649;0;0;1720;2397;54;0 
541371;0;0;1729;2279;68;0 
542912;0;0;1716;3317;59;0 
544037;0;0;1723;2911;65;0 
552860;0;0;1732;7397;56;0 
542181;0;0;1753;3693;56;0 
544031;0;0;1836;4517;75;0 
545568;0;0;1704;3050;73;0 
558105;0;0;2042;8564;71;0 
541776;0;0;1775;2408;67;0 
546727;0;0;1907;2682;71;0 
545977;0;0;1763;5769;60;0 
544058;0;0;1736;4714;72;0 
541192;0;0;1738;2473;67;0 
542343;0;0;1712;3084;66;0 
546255;0;0;1735;6248;60;0 
545949;0;0;3954;4315;76;0 
559585;0;0;2262;9790;70;0 
541858;0;0;1757;2210;68;0 
545698;0;0;1819;5140;74;0 
546022;0;0;1746;3010;63;0 
544255;0;0;1917;3108;64;0 
542597;0;0;1924;2751;65;0 
541971;0;0;1831;2977;72;0 
543907;0;0;1752;3613;65;0 
550967;0;0;1782;9592;64;0 
541713;0;0;1950;3046;64;0 
546237;0;0;1755;6711;70;0 
542344;0;0;1724;2498;60;0 
543396;0;0;1748;2435;65;0 
546477;0;0;1817;3423;69;0 
543398;0;0;1750;3193;66;0 
541129;0;0;1734;2709;64;0 
540943;0;0;1758;2299;63;0 
542074;0;0;1927;2316;61;0 
543242;0;0;1929;3270;66;0 
553442;0;0;1886;4185;146;0 
544980;0;0;1756;3125;54;0 
542868;0;0;1756;2948;68;0 
544856;0;0;1715;5737;66;0 
545693;0;0;1745;4374;55;0 
542221;0;0;1897;3125;64;0 
544625;0;0;1899;5301;63;0 
546182;0;0;3306;5176;71;0 
542128;0;0;1727;2758;53;0 
543292;0;0;1746;3163;71;0 
542908;0;0;1722;2960;67;0 
552664;0;0;2697;6874;63;0 
544196;0;0;1737;3653;62;0 
545325;0;0;1693;3240;56;0 
546233;0;0;1745;6093;66;0 
550769;0;0;1705;4911;70;0 
545740;0;0;1724;4494;63;0 
544118;0;0;1758;2680;74;0 
541738;0;0;1734;2593;64;0 
546269;0;0;1809;3318;72;0 
545822;0;0;1741;6622;69;0 
542954;0;0;1914;3051;64;0 
541944;0;0;1730;2997;68;0 
541494;0;0;1778;2759;56;0 
542584;0;0;1737;3145;60;0 
544849;0;0;1913;3707;70;0 
545928;0;0;1735;3273;63;0 
544644;0;0;1733;2595;65;0 
542909;0;0;2141;2088;75;0 
543436;0;0;1735;3529;63;0 
543055;0;0;2117;3216;74;0 
544789;0;0;2012;3678;67;0 
542876;0;0;1714;3626;51;0 
547584;0;0;1720;5606;67;0 
552709;0;0;1747;6016;67;0 
544177;0;0;1722;5588;49;0 
544318;0;0;2507;2503;57;0 
541790;0;0;1758;2428;66;0 
544725;0;0;1729;5330;58;0 
542995;0;0;1976;2865;68;0 
543731;0;0;1728;3284;71;0 
544185;0;0;1743;5208;74;0 
545413;0;0;1757;3042;65;0 
541878;0;0;1939;2286;83;0 
543074;0;0;1727;3607;62;0 
555578;0;0;2217;4422;250;0 
545773;0;0;1752;2756;55;0 
542862;0;0;1961;3209;70;0 
545183;0;0;1739;3131;64;0 
549063;0;0;1748;7259;56;0 
544643;0;0;1849;4218;72;0 
542104;0;0;1881;2791;67;0 
547733;0;0;2072;6227;77;0 
541894;0;0;1742;2476;66;0 
544974;0;0;2014;3647;68;0 
542519;0;0;1729;3067;65;0 
545395;0;0;2225;3190;70;0 
543279;0;0;1739;3184;64;0 
