CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
4448;0;0;33;440;8;0 
1965;0;0;32;196;9;0 
1811;0;0;29;141;8;0 
1627;0;0;36;141;9;0 
2038;0;0;47;133;8;0 
2102;0;0;34;285;9;0 
2107;0;0;33;364;9;0 
3561;0;0;36;149;9;0 
4105;0;0;33;669;8;0 
5116;0;0;50;2044;9;0 
3654;0;0;32;188;10;0 
1750;0;0;28;282;9;0 
2130;0;0;33;252;5;0 
2097;0;0;48;378;8;0 
1786;0;0;34;166;10;0 
1674;0;0;37;158;9;0 
1737;0;0;29;133;8;0 
1735;0;0;32;143;8;0 
2859;0;0;44;238;9;0 
2201;0;0;29;290;7;0 
2937;0;0;28;240;9;0 
2228;0;0;45;315;4;0 
2076;0;0;41;214;9;0 
4734;0;0;41;268;8;0 
6990;0;0;68;281;9;0 
2049;0;0;40;255;8;0 
2019;0;0;31;157;9;0 
2262;0;0;40;134;10;0 
2072;0;0;37;337;8;0 
1881;0;0;34;164;8;0 
2129;0;0;41;253;9;0 
1978;0;0;31;175;9;0 
4230;0;0;39;468;9;0 
3142;0;0;34;389;9;0 
3794;0;0;55;1854;8;0 
3586;0;0;31;208;10;0 
2162;0;0;41;236;5;0 
1832;0;0;39;145;8;0 
1831;0;0;48;220;9;0 
4754;0;0;36;1847;8;0 
4500;0;0;52;326;9;0 
2043;0;0;58;153;9;0 
2214;0;0;55;156;9;0 
1926;0;0;31;188;10;0 
1712;0;0;38;142;9;0 
1977;0;0;39;110;9;0 
1955;0;0;39;170;5;0 
1714;0;0;41;162;8;0 
2023;0;0;42;155;9;0 
2206;0;0;34;215;9;0 
4410;0;0;36;299;8;0 
1870;0;0;29;197;8;0 
1780;0;0;36;120;8;0 
1825;0;0;46;154;9;0 
4279;0;0;35;223;9;0 
1632;0;0;32;205;10;0 
1809;0;0;37;481;5;0 
1943;0;0;42;199;9;0 
1227;0;0;36;548;8;0 
2220;0;0;45;199;9;0 
2023;0;0;43;177;8;0 
2186;0;0;45;136;8;0 
4056;0;0;42;172;8;0 
1978;0;0;37;120;5;0 
1724;0;0;43;207;8;0 
1697;0;0;32;170;9;0 
4609;0;0;40;164;8;0 
2199;0;0;36;156;9;0 
3485;0;0;39;139;8;0 
1971;0;0;48;47;9;0 
1604;0;0;48;449;8;0 
3901;0;0;46;2584;8;0 
1793;0;0;34;146;9;0 
3384;0;0;49;397;9;0 
1830;0;0;47;111;9;0 
1855;0;0;40;142;9;0 
2266;0;0;41;232;9;0 
1957;0;0;26;219;9;0 
1662;0;0;38;138;9;0 
5006;0;0;41;1394;9;0 
1802;0;0;32;156;8;0 
8714;0;0;3665;438;9;0 
1849;0;0;31;189;8;0 
1757;0;0;45;146;8;0 
1814;0;0;40;102;10;0 
1970;0;0;32;232;9;0 
3796;0;0;38;747;5;0 
1907;0;0;29;305;9;0 
3808;0;0;37;167;9;0 
2113;0;0;39;151;10;0 
2114;0;0;30;232;8;0 
1932;0;0;45;281;9;0 
4773;0;0;58;3333;8;0 
2417;0;0;47;960;8;0 
7169;0;0;42;656;9;0 
1736;0;0;49;220;9;0 
2983;0;0;40;178;9;0 
1962;0;0;40;178;8;0 
2013;0;0;37;165;8;0 
4636;0;0;36;3088;9;0 
3816;0;0;53;689;9;0 
2000;0;0;35;151;9;0 
1805;0;0;35;345;8;0 
1840;0;0;35;126;9;0 
1771;0;0;39;258;8;0 
4589;0;0;37;338;9;0 
2869;0;0;48;162;8;0 
3943;0;0;32;2389;9;0 
1983;0;0;40;131;9;0 
5482;0;0;37;316;9;0 
1814;0;0;42;227;9;0 
2106;0;0;36;126;9;0 
1623;0;0;37;150;9;0 
4096;0;0;41;96;9;0 
2976;0;0;32;162;10;0 
1717;0;0;34;207;10;0 
1853;0;0;31;166;8;0 
1769;0;0;31;78;9;0 
1521;0;0;40;136;9;0 
2017;0;0;30;112;9;0 
1913;0;0;36;259;9;0 
1623;0;0;46;191;8;0 
1754;0;0;47;36;9;0 
2312;0;0;34;249;9;0 
4560;0;0;38;175;8;0 
3462;0;0;42;329;9;0 
2101;0;0;110;211;37;0 
2622;0;0;38;384;9;0 
1514;0;0;44;135;8;0 
1832;0;0;56;187;9;0 
1540;0;0;37;223;9;0 
2228;0;0;37;296;10;0 
2134;0;0;51;144;9;0 
2015;0;0;38;125;8;0 
2081;0;0;38;427;9;0 
4751;0;0;33;533;8;0 
1720;0;0;33;143;10;0 
1962;0;0;49;152;8;0 
2179;0;0;44;236;5;0 
4521;0;0;37;1725;9;0 
1921;0;0;34;160;9;0 
2111;0;0;43;276;10;0 
2317;0;0;50;252;9;0 
6841;0;0;26;305;9;0 
1759;0;0;95;231;11;0 
