CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
4277;8;1;0;0;20;0 
1713;0;1;0;0;20;0 
4045;24;1;0;0;19;0 
2154;16;1;0;0;22;0 
1987;12;1;0;0;20;0 
4594;8;1;0;0;20;0 
1952;28;1;0;0;20;0 
1863;4;1;0;0;21;0 
3823;4;1;0;0;20;0 
1889;16;1;0;0;20;0 
1822;8;1;0;0;16;0 
1827;8;1;0;0;21;0 
3236;4;1;0;0;22;0 
1843;8;1;0;0;21;0 
1910;20;1;0;0;21;0 
1690;4;1;0;0;22;0 
6108;36;1;0;0;19;0 
1880;4;1;0;0;20;0 
1902;4;1;0;0;21;0 
2017;8;1;0;0;23;0 
2258;12;1;0;0;23;0 
1501;16;1;0;0;20;0 
4661;16;1;0;0;23;0 
1710;4;1;0;0;20;0 
3048;4;1;0;0;22;0 
2060;8;1;0;0;20;0 
1870;12;1;0;0;22;0 
2164;24;1;0;0;21;0 
3760;0;1;0;0;21;0 
1973;8;1;0;0;22;0 
1695;8;1;0;0;21;0 
2208;20;1;0;0;21;0 
4494;0;1;0;0;19;0 
3816;24;1;0;0;21;0 
1662;8;1;0;0;21;0 
4392;8;1;0;0;20;0 
1843;16;1;0;0;23;0 
3796;8;1;0;0;22;0 
1765;8;1;0;0;19;0 
1989;8;1;0;0;19;0 
2125;16;1;0;0;22;0 
4886;12;1;0;0;19;0 
2060;8;1;0;0;21;0 
2488;20;1;0;0;25;0 
3134;16;1;0;0;22;0 
1685;4;1;0;0;23;0 
1829;8;1;0;0;21;0 
1856;8;1;0;0;22;0 
6986;26;1;0;0;24;0 
1985;12;1;0;0;24;0 
1796;8;1;0;0;18;0 
1843;4;1;0;0;22;0 
2213;16;1;0;0;20;0 
1559;12;1;0;0;24;0 
3986;0;1;0;0;19;0 
4085;0;1;0;0;23;0 
1953;12;1;0;0;17;0 
1883;8;1;0;0;19;0 
1980;8;1;0;0;21;0 
1805;8;1;0;0;23;0 
2823;8;1;0;0;21;0 
1875;12;1;0;0;18;0 
1605;0;1;0;0;20;0 
2589;8;1;0;0;22;0 
1686;8;1;0;0;20;0 
1825;24;1;0;0;23;0 
1862;12;1;0;0;22;0 
1824;4;1;0;0;21;0 
4402;4;1;0;0;23;0 
2343;32;1;0;0;20;0 
1634;0;1;0;0;19;0 
1743;8;1;0;0;19;0 
4915;12;1;0;0;22;0 
4710;28;1;0;0;22;0 
3514;12;1;0;0;23;0 
1725;8;1;0;0;23;0 
6746;24;1;0;0;21;0 
1995;4;1;0;0;18;0 
1854;12;1;0;0;21;0 
2069;16;1;0;0;20;0 
1939;8;1;0;0;24;0 
3042;4;1;0;0;19;0 
3558;4;1;0;0;20;0 
2054;12;1;0;0;22;0 
1774;16;1;0;0;18;0 
2279;12;1;0;0;21;0 
4550;4;1;0;0;17;0 
4518;20;1;0;0;24;0 
1896;8;1;0;0;19;0 
1814;8;1;0;0;20;0 
1788;4;1;0;0;20;0 
2157;4;1;0;0;25;0 
1771;0;1;0;0;24;0 
5500;16;1;0;0;24;0 
