CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
2515435;5634;4;0;321;0;0 
2515878;5634;5;0;386;0;12 
2517674;5634;6;0;427;0;3 
2516420;5634;4;0;398;0;18 
2516158;5634;5;0;379;0;13 
2512890;5634;5;0;334;0;12 
2520042;5634;5;0;665;0;6 
2517397;5634;7;0;498;0;26 
2516211;5634;5;0;354;0;15 
2516207;5634;5;0;354;0;0 
2516511;5634;5;0;348;0;7 
2515645;5634;4;0;310;0;3 
2517085;5634;6;0;463;0;14 
2515800;5634;4;0;369;0;3 
2515673;5634;4;0;332;0;0 
2516925;5634;4;0;372;0;3 
2515920;5634;4;0;327;0;12 
2514782;5634;5;0;466;0;14 
2515622;5634;4;0;312;0;3 
2514661;5634;4;0;330;0;10 
2512537;5634;5;0;349;0;0 
2516360;5634;4;0;379;0;6 
2517337;5634;6;0;462;0;6 
2515405;5634;4;0;342;0;0 
2515905;5634;4;0;361;0;12 
2514462;5634;5;0;389;0;9 
2514718;5634;5;0;346;0;14 
2518161;5634;7;0;518;0;6 
2516053;5634;6;0;372;0;3 
2514932;5634;5;0;346;0;6 
2512776;5634;4;0;307;0;0 
2513517;5634;4;0;362;0;6 
2515845;5634;5;0;421;0;3 
2513930;5634;4;0;353;0;11 
2517610;5634;5;0;431;0;7 
2516507;5634;4;0;328;0;9 
2515263;5634;5;0;334;0;9 
2514860;5634;4;0;379;0;17 
2513392;5634;4;0;383;0;16 
2517603;5634;6;0;478;0;16 
2515406;5634;4;0;360;0;0 
2514819;5634;4;0;320;0;3 
2516193;5634;5;0;375;0;8 
2513547;5634;5;0;329;0;6 
2517594;5634;7;0;553;0;6 
2515598;5634;5;0;351;0;10 
2515958;5634;5;0;350;0;6 
2513113;5634;5;0;376;0;19 
2515547;5634;4;0;348;0;9 
2518187;5634;5;0;759;0;14 
2515025;5634;4;0;339;0;12 
2516580;5634;4;0;293;0;0 
2513482;5634;4;0;343;0;3 
2515580;5634;4;0;309;0;9 
2518575;5634;5;0;489;0;13 
2515127;5634;5;0;353;0;7 
