Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x03;cnt_perf_n1_eventos_...;0,0003;0,0;0,3508610102168008;0,0;-0,13307234447108174;1,9607063354436678;0,0;0,0;0,0001
0x0D;cnt_perf_n3_eventos_...;0,0003;0,0;1,0000000000020137;0,001995983935742185;167,50396713952037;0,05143576008516862;0,0;0,0;0,0001
0x87;cnt_perf_n6_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC1;cnt_perf_n6_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xD1;cnt_perf_n9_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xD2;cnt_perf_n9_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE3;cnt_perf_n9_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE6;cnt_perf_n10_eventos...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x7A;cnt_perf_n6_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE3;cnt_perf_n10_eventos...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC9;cnt_perf_n8_eventos_...;0,0;0,0;0,9477137463637013;0,0006626586506325305;191,40302103586976;0,05216457677616952;0,0;0,0;0,0
0xD0;cnt_perf_n8_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0B;cnt_perf_n2_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x09;cnt_perf_n2_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x06;cnt_perf_n2_eventos_...;0,0;0,0;0,9001462812144982;0,0;68,34552267612194;0,13579792851991881;0,0;0,0;0,0
0xC6;cnt_perf_n7_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x1A;cnt_perf_n5_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x1E;cnt_perf_n5_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0F;cnt_perf_n3_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0E;cnt_perf_n3_eventos_...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
