CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
542469;84;4;0;0;320;0 
543651;88;4;2;0;312;0 
544105;132;4;0;0;286;0 
546127;104;4;2;0;312;0 
545517;140;4;0;0;291;0 
543087;136;4;1;0;328;0 
551071;448;4;0;0;306;0 
541480;84;4;1;0;316;0 
544201;136;4;0;0;306;0 
543092;152;4;0;0;295;0 
543990;124;4;0;0;299;0 
542913;120;4;0;0;309;0 
561968;300;4;2;0;324;0 
546684;176;4;2;0;357;0 
543018;224;4;0;0;292;0 
546447;172;4;3;0;347;0 
556483;488;4;0;0;326;0 
541532;84;4;0;0;297;0 
544445;104;4;0;0;274;0 
541996;96;4;0;0;290;0 
546869;148;4;0;0;284;0 
546853;172;4;0;0;289;0 
548714;356;4;0;0;304;0 
545473;140;4;0;0;318;0 
541729;128;4;0;0;309;0 
543409;108;4;0;0;272;0 
547094;176;4;2;0;349;0 
547263;180;4;0;0;310;0 
544172;68;4;1;0;317;0 
544585;104;4;0;0;276;0 
544622;116;4;1;0;322;0 
543395;120;4;0;0;303;0 
541480;76;4;0;0;298;0 
543438;136;4;0;0;298;0 
543967;204;4;0;0;315;0 
543044;100;4;0;0;302;0 
544051;96;4;0;0;304;0 
544765;128;4;2;0;320;0 
544265;184;4;0;0;324;0 
543163;100;4;2;0;308;0 
541575;96;4;0;0;314;0 
564997;248;4;0;0;324;0 
543375;88;4;0;0;305;0 
543797;128;4;2;0;303;0 
546584;92;4;0;0;309;0 
552955;548;4;2;0;314;0 
545290;112;4;0;0;295;0 
542066;72;4;0;0;288;0 
541518;76;4;0;0;307;0 
543708;164;4;0;0;305;0 
542759;168;4;0;0;327;0 
548099;312;4;2;0;315;0 
544877;80;4;0;0;287;0 
545099;220;4;0;0;311;0 
542542;132;4;0;0;313;0 
544509;144;4;0;0;299;0 
549776;120;4;2;0;315;0 
544386;96;4;0;0;297;0 
543047;112;4;1;0;319;0 
542992;132;4;0;0;303;0 
542297;116;4;1;0;317;0 
542417;124;4;4;0;348;0 
542277;96;4;1;0;313;0 
542631;64;4;0;0;298;0 
545287;84;4;2;0;330;0 
542610;128;4;2;0;297;0 
543478;120;4;0;0;322;0 
545828;120;4;2;0;314;0 
542365;76;4;0;0;280;0 
543958;120;4;3;0;345;0 
548835;112;4;0;0;306;0 
545819;124;4;1;0;314;0 
542635;168;4;0;0;317;0 
541841;112;4;0;0;281;0 
552964;464;4;0;0;268;0 
543484;116;4;2;0;319;0 
544259;68;4;0;0;302;0 
545820;128;4;0;0;298;0 
544394;176;4;0;0;299;0 
544820;104;4;0;0;306;0 
545638;360;4;0;0;315;0 
545347;84;4;1;0;318;0 
544411;108;4;0;0;303;0 
541708;88;4;2;0;314;0 
546368;300;4;3;0;321;0 
545461;76;4;0;0;303;0 
543814;96;4;2;0;328;0 
544941;148;4;0;0;280;0 
546519;100;4;0;0;311;0 
542801;128;4;0;0;308;0 
551149;40;4;3;0;339;0 
545185;108;4;0;0;297;0 
542561;96;4;0;0;275;0 
541888;76;4;0;0;305;0 
545037;104;4;0;0;312;0 
542491;108;4;0;0;282;0 
546538;116;4;0;0;296;0 
543310;108;4;0;0;316;0 
543289;108;4;0;0;299;0 
546832;132;4;2;0;331;0 
545403;120;4;0;0;301;0 
543820;192;4;0;0;298;0 
542333;88;4;0;0;307;0 
557338;452;4;2;0;344;0 
542045;116;4;0;0;274;0 
545022;80;4;0;0;298;0 
543625;148;4;0;0;299;0 
545166;216;4;0;0;295;0 
543387;128;4;0;0;278;0 
563429;308;4;0;0;278;0 
545274;108;4;0;0;303;0 
541548;116;4;2;0;333;0 
542185;92;4;0;0;311;0 
543840;332;4;0;0;310;0 
543806;60;4;2;0;326;0 
541675;108;4;0;0;280;0 
541991;108;4;2;0;345;0 
541855;92;4;0;0;295;0 
545619;168;4;0;0;312;0 
552714;84;4;0;0;293;0 
542011;76;4;2;0;353;0 
543823;100;4;0;0;300;0 
545368;120;4;2;0;334;0 
543503;116;4;3;0;351;0 
543495;164;4;0;0;306;0 
547370;128;4;3;0;347;0 
544608;64;4;0;0;298;0 
548683;132;4;3;0;365;0 
545612;96;4;0;0;295;0 
542493;124;4;2;0;319;0 
542646;132;4;0;0;307;0 
547199;124;4;2;0;314;0 
553049;504;4;0;0;298;0 
545189;84;4;0;0;292;0 
543490;104;4;0;0;295;0 
541528;88;4;0;0;308;0 
544841;152;4;0;0;306;0 
542430;172;4;0;0;275;0 
558108;272;4;0;0;301;0 
542701;140;4;0;0;304;0 
545219;148;4;1;0;340;0 
542156;76;4;0;0;315;0 
542963;160;4;0;0;310;0 
543834;148;4;0;0;297;0 
544927;108;4;0;0;295;0 
544852;120;4;0;0;281;0 
542209;104;4;0;0;318;0 
545640;92;4;0;0;304;0 
541483;40;4;0;0;314;0 
546544;220;4;1;0;318;0 
543537;184;4;0;0;291;0 
543162;128;4;0;0;303;0 
545213;120;4;0;0;280;0 
542677;76;4;0;0;326;0 
543268;184;4;0;0;305;0 
547476;108;4;0;0;311;0 
544101;96;4;0;0;275;0 
557493;184;4;0;0;315;0 
544549;156;4;0;0;323;0 
543312;140;4;2;0;353;0 
542895;92;4;0;0;300;0 
551120;476;4;0;0;320;0 
544650;100;4;2;0;327;0 
544769;104;4;0;0;309;0 
543715;160;4;2;0;323;0 
542537;160;4;0;0;307;0 
542550;164;4;3;0;297;0 
552379;172;4;0;0;283;0 
541522;96;4;2;0;307;0 
542178;80;4;0;0;286;0 
545018;128;4;1;0;293;0 
545590;136;4;0;0;307;0 
544243;148;4;0;0;282;0 
542129;76;4;0;0;291;0 
542955;112;4;0;0;302;0 
541987;84;4;0;0;312;0 
542258;112;4;0;0;283;0 
544275;72;4;0;0;310;0 
543121;172;4;0;0;306;0 
