CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
23395576;1;40;0;3307;0;1330 
23398729;1;40;0;3260;0;951 
23395031;1;40;0;2444;0;634 
23396154;1;40;0;2660;0;709 
23396902;1;40;0;2698;0;787 
23395702;1;41;0;3441;0;1253 
23397721;1;41;0;2497;0;747 
23405875;1;41;0;5043;0;1107 
23404480;1;40;0;4548;0;1017 
23404535;1;40;0;4417;0;987 
23393480;1;40;0;2416;0;817 
23398157;1;40;0;2597;0;909 
23407211;1;40;0;4435;0;1249 
23428485;1;40;0;10707;0;3284 
23406066;1;40;0;6076;0;2094 
23397417;1;40;0;3593;0;1218 
23404183;1;51;0;4232;0;1057 
23395737;1;40;0;3049;0;997 
23397655;1;40;0;3058;0;1003 
23410305;1;40;0;7046;0;1842 
23411821;1;40;0;7100;0;2364 
23408516;1;40;0;6940;0;1937 
23400093;1;40;0;3547;0;748 
23395744;1;40;0;3481;0;1385 
23394763;1;40;0;2943;0;1087 
23400411;1;39;0;3228;0;874 
23432174;1;40;0;12662;0;4199 
23413007;1;40;0;6059;0;2074 
23401896;1;40;0;4112;0;1256 
23397130;1;40;0;2452;0;699 
23398317;1;40;0;3553;0;1097 
23401327;1;40;0;3688;0;1057 
23426389;1;40;0;10145;0;3006 
23409763;1;40;0;5889;0;1508 
23401944;1;41;0;2997;0;669 
23394703;1;40;0;2710;0;747 
23398858;1;40;0;3068;0;806 
23406701;1;40;0;4986;0;1468 
23396651;1;40;0;2851;0;862 
23395265;1;39;0;2624;0;772 
23396951;1;40;0;3133;0;951 
23401610;1;40;0;4180;0;992 
23426413;1;40;0;10302;0;3002 
23395278;1;39;0;2706;0;658 
23396032;1;39;0;2700;0;696 
23401514;1;40;0;3455;0;1061 
23417727;1;40;0;8122;0;2655 
23429497;1;40;0;12063;0;3850 
23405462;1;40;0;5264;0;1280 
23422091;1;40;0;9590;0;3161 
23410833;1;41;0;7043;0;2282 
23397377;1;40;0;3518;0;1195 
23429879;1;40;0;12244;0;4304 
23399474;1;40;0;3822;0;1022 
23404360;1;40;0;6056;0;2238 
23396688;1;40;0;2515;0;691 
23407230;1;40;0;4638;0;1341 
23397612;1;40;0;2783;0;706 
23394442;1;40;0;2916;0;965 
23395802;1;40;0;3277;0;936 
23406652;1;40;0;4872;0;1240 
23395336;1;40;0;2745;0;800 
23403209;1;40;0;4252;0;1044 
23393992;1;39;0;2501;0;709 
23401504;1;40;0;4555;0;1395 
23396078;1;40;0;3083;0;909 
23407443;1;40;0;6371;0;2351 
23400356;1;40;0;3913;0;986 
23405850;1;40;0;5836;0;2321 
23398541;1;40;0;3293;0;971 
23410597;1;40;0;4605;0;1137 
23400037;1;40;0;3716;0;923 
23403927;1;40;0;3918;0;928 
23415969;1;39;0;8162;0;2602 
23393751;1;40;0;2307;0;660 
23398975;1;40;0;3361;0;1022 
23403140;1;40;0;3856;0;1034 
23397853;1;40;0;2552;0;673 
23398072;1;40;0;3774;0;1195 
23413424;1;40;0;7487;0;2529 
23399559;1;40;0;3337;0;896 
23425626;1;40;0;9900;0;2902 
23403987;1;39;0;5977;0;2310 
23395236;1;40;0;2616;0;821 
23408547;1;40;0;6185;0;2498 
23396712;1;40;0;2621;0;648 
23404145;1;40;0;6032;0;2298 
23396594;1;40;0;2506;0;712 
23397739;1;40;0;3258;0;965 
23411356;1;40;0;7132;0;1889 
23394474;1;40;0;2919;0;982 
23396665;1;40;0;2809;0;841 
23398834;1;40;0;3256;0;791 
23398570;1;40;0;2938;0;974 
23396139;1;40;0;2774;0;844 
23426275;1;41;0;9849;0;3119 
23399448;1;40;0;3789;0;1112 
23399698;1;40;0;2509;0;736 
23395938;1;40;0;2735;0;756 
23397469;1;40;0;2651;0;684 
23399230;1;40;0;3755;0;1104 
23397419;1;52;0;2628;0;805 
23398590;1;40;0;3637;0;1157 
23397896;1;40;0;3249;0;738 
23404939;1;39;0;4652;0;1309 
23398228;1;40;0;3431;0;882 
23397209;1;40;0;2666;0;724 
23398628;1;40;0;3517;0;852 
23394622;1;39;0;2555;0;704 
23397781;1;40;0;3208;0;929 
23411355;1;40;0;6798;0;2128 
23400100;1;40;0;4066;0;1204 
23396834;1;40;0;2588;0;697 
23397625;1;39;0;2997;0;771 
23401718;1;40;0;3787;0;907 
23423861;1;40;0;10021;0;3373 
23406210;1;40;0;6215;0;2237 
23397176;1;40;0;2597;0;754 
23397036;1;40;0;3277;0;723 
23404339;1;40;0;5116;0;1332 
23407678;1;40;0;6319;0;2310 
23406226;1;40;0;6118;0;2296 
23397790;1;40;0;3245;0;969 
23405459;1;40;0;6242;0;2446 
23396102;1;40;0;2650;0;734 
23426742;1;40;0;10263;0;3157 
23395224;1;39;0;2668;0;750 
23398783;1;40;0;2579;0;738 
23401260;1;40;0;4109;0;1282 
23412298;1;40;0;7096;0;1814 
23414357;1;40;0;7778;0;2566 
23396309;1;40;0;3502;0;1417 
23395002;1;40;0;2486;0;761 
23397630;1;40;0;2630;0;723 
23411720;1;40;0;7089;0;1818 
23394317;1;40;0;2406;0;691 
23407767;1;40;0;6055;0;2262 
23409583;1;41;0;7146;0;2785 
23418004;1;42;0;7921;0;2813 
23398285;1;40;0;3666;0;1339 
23408234;1;40;0;6335;0;2522 
23396062;1;41;0;2756;0;859 
23409749;1;43;0;6813;0;1924 
23415885;1;47;0;6722;0;2517 
23400519;1;42;0;4083;0;1259 
23430021;1;44;0;10687;0;3098 
23399158;1;42;0;3692;0;1495 
23407876;1;42;0;6175;0;2115 
23395676;1;42;0;2694;0;681 
23402007;1;42;0;3655;0;1015 
23404858;1;43;0;6021;0;2209 
23410509;1;41;0;6261;0;2399 
23396709;1;41;0;3199;0;967 
23398159;1;42;0;3771;0;1195 
23408062;1;42;0;6212;0;2442 
23396093;1;42;0;2621;0;703 
23411481;1;42;0;7188;0;2148 
23395849;1;41;0;2747;0;743 
23431231;1;66;0;9818;0;3384 
23399856;1;46;0;3989;0;1309 
23405374;1;42;0;5161;0;1190 
23395445;1;42;0;2998;0;911 
