CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
2239;1;56;0;1120;0;52 
1891;2;56;0;945;0;48 
2135;1;48;0;1068;0;44 
1859;1;48;0;929;0;44 
2077;4;64;0;1039;0;48 
4103;3;52;0;2052;0;40 
1959;1;48;0;980;0;44 
2023;0;52;0;1012;0;52 
1421;2;36;0;711;0;28 
1895;0;44;0;947;0;44 
4430;4;72;0;2215;0;56 
1775;1;48;0;888;0;44 
2008;3;56;0;1004;0;44 
1585;1;32;0;793;0;28 
1861;1;44;0;931;0;40 
2494;4;68;0;1247;0;52 
1855;3;60;0;928;0;48 
1885;1;48;0;943;0;44 
1984;1;48;0;992;0;44 
1891;2;56;0;945;0;48 
4000;5;68;0;2000;0;48 
1769;4;68;0;884;0;52 
1758;4;68;0;879;0;52 
1637;2;48;0;818;0;40 
2312;4;60;0;1156;0;44 
1649;5;52;0;825;0;32 
1772;2;56;0;886;0;48 
4941;5;72;0;2471;0;52 
4129;1;56;0;2065;0;52 
1813;2;52;0;907;0;44 
1982;1;52;0;991;0;48 
3153;1;44;0;1576;0;40 
1764;2;56;0;882;0;48 
1455;2;36;0;728;0;28 
1202;1;28;0;601;0;24 
2546;4;56;0;1273;0;40 
2789;3;64;0;1394;0;52 
4720;3;60;0;2360;0;48 
1769;1;44;0;884;0;40 
1824;0;44;0;912;0;44 
4575;1;52;0;2287;0;48 
4026;7;80;0;2013;0;52 
2160;6;70;0;1080;0;48 
4305;3;56;0;2153;0;44 
3348;2;49;0;1674;0;44 
2763;12;88;0;1381;0;48 
1764;2;56;0;882;0;48 
1753;2;52;0;877;0;44 
1721;1;48;0;861;0;44 
2401;0;44;0;1200;0;44 
1517;2;52;0;759;0;44 
3249;2;52;0;1625;0;44 
4138;9;90;0;2069;0;56 
1910;1;48;0;955;0;44 
1674;1;40;0;837;0;36 
2004;2;52;0;1002;0;44 
4611;8;88;0;2306;0;56 
1761;0;48;0;881;0;48 
1792;1;56;0;896;0;52 
4588;3;56;0;2294;0;44 
1769;0;52;0;885;0;52 
2845;2;52;0;1423;0;44 
1732;0;40;0;866;0;40 
1347;1;44;0;674;0;40 
1945;1;48;0;972;0;48 
1890;4;60;0;945;0;44 
3995;4;68;0;1997;0;52 
1837;3;60;0;918;0;48 
2190;4;60;0;1095;0;44 
1931;2;64;0;966;0;56 
1596;0;40;0;798;0;40 
1993;1;48;0;997;0;44 
2060;1;52;0;1030;0;48 
1540;1;40;0;770;0;36 
4800;2;52;0;2400;0;44 
1538;1;40;0;769;0;36 
1721;3;56;0;861;0;44 
4576;4;60;0;2288;0;44 
2042;3;68;0;1021;0;56 
4316;3;60;0;2158;0;48 
1991;0;48;0;996;0;48 
3520;3;60;0;1760;0;48 
5043;2;58;0;2521;0;52 
1770;8;76;0;885;0;44 
2305;1;44;0;1153;0;40 
4912;1;48;0;2456;0;44 
3989;0;48;0;1995;0;48 
3272;10;68;0;1636;0;48 
2166;0;52;0;1083;0;52 
1773;3;56;0;887;0;44 
3661;2;48;0;1831;0;40 
2015;1;56;0;1008;0;52 
3143;3;64;0;1572;0;52 
2070;3;60;0;1035;0;48 
1737;1;44;0;869;0;40 
2128;1;52;0;1064;0;48 
2201;2;56;0;1100;0;48 
1800;3;68;0;900;0;56 
1803;1;48;0;902;0;44 
2122;2;56;0;1061;0;48 
