CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
3336;108;0;1668;0;84;24 
3253;136;0;1627;0;100;36 
5765;104;0;2882;0;60;44 
6377;156;0;3189;0;104;52 
2805;96;0;1402;0;60;36 
3305;128;0;1653;0;100;28 
3001;72;0;1501;0;56;16 
3925;148;0;1963;0;108;40 
4491;104;0;2246;0;88;16 
2427;92;0;1214;0;60;32 
3442;144;0;1721;0;104;40 
2877;100;0;1438;0;76;24 
5513;108;0;2757;0;64;44 
3443;148;0;1722;0;108;40 
3215;128;0;1608;0;88;40 
3522;128;0;1761;0;88;40 
5736;136;0;2868;0;84;52 
3189;112;0;1594;0;64;48 
3258;124;0;1629;0;88;36 
4169;132;0;2084;0;92;40 
2998;100;0;1499;0;64;36 
5505;152;0;2752;0;96;56 
4166;124;0;2083;0;72;52 
3066;120;0;1533;0;96;24 
2570;108;0;1285;0;76;32 
3004;128;0;1502;0;96;32 
3327;132;0;1663;0;84;48 
6623;164;0;3312;0;112;52 
3567;128;0;1784;0;84;44 
3125;124;0;1562;0;88;36 
2564;92;0;1282;0;68;24 
3368;124;0;1684;0;84;40 
5628;96;0;2814;0;80;16 
2548;92;0;1274;0;68;24 
3361;104;0;1680;0;80;24 
3528;148;0;1764;0;92;56 
3461;92;0;1731;0;72;20 
3564;164;0;1782;0;100;64 
3407;128;0;1704;0;88;40 
3223;112;0;1611;0;88;24 
3064;108;0;1532;0;80;28 
3784;96;0;1892;0;64;32 
3629;84;0;1815;0;64;20 
4441;132;0;2220;0;92;40 
3934;152;0;1967;0;108;44 
3363;148;0;1681;0;92;56 
4335;144;0;2168;0;92;52 
3262;112;0;1631;0;84;28 
2829;96;0;1415;0;68;28 
2359;96;0;1180;0;64;32 
4298;116;0;2149;0;96;20 
9987;112;0;4993;0;76;36 
3063;125;0;1532;0;80;45 
3913;124;0;1956;0;88;36 
4248;128;0;2124;0;96;32 
3965;120;0;1982;0;80;40 
3048;116;0;1524;0;88;28 
4579;128;0;2289;0;88;40 
2556;92;0;1278;0;68;24 
3113;96;0;1557;0;80;16 
3163;123;0;1581;0;80;43 
3707;96;0;1853;0;72;24 
6011;124;0;3006;0;72;52 
4037;124;0;2019;0;76;48 
3339;140;0;1670;0;92;48 
2882;112;0;1441;0;76;36 
2774;104;0;1387;0;80;24 
2833;96;0;1416;0;80;16 
3907;156;0;1954;0;100;56 
2888;96;0;1444;0;80;16 
3538;172;0;1769;0;104;68 
3203;116;0;1601;0;72;44 
2821;108;0;1410;0;72;36 
2870;100;0;1435;0;80;20 
2785;100;0;1392;0;64;36 
3347;140;0;1673;0;88;52 
3274;112;0;1637;0;80;32 
2491;76;0;1245;0;56;20 
2799;92;0;1399;0;60;32 
3666;156;0;1833;0;112;44 
3281;140;0;1641;0;88;52 
2865;104;0;1433;0;76;28 
3422;108;0;1711;0;68;40 
2765;116;0;1383;0;80;36 
2321;76;0;1161;0;60;16 
6068;116;0;3034;0;96;20 
2935;108;0;1468;0;72;36 
3306;136;0;1653;0;96;40 
4271;148;0;2135;0;104;44 
5616;164;0;2808;0;96;68 
4173;140;0;2087;0;80;60 
3676;148;0;1838;0;108;40 
6049;120;0;3024;0;80;40 
2674;88;0;1337;0;72;16 
3019;116;0;1510;0;76;40 
6315;135;0;3157;0;100;35 
5372;191;0;2686;0;123;68 
3358;124;0;1679;0;96;28 
3573;144;0;1787;0;88;56 
2818;96;0;1409;0;68;28 
5897;148;0;2948;0;92;56 
3741;124;0;1871;0;92;32 
2707;96;0;1354;0;72;24 
2805;108;0;1403;0;72;36 
3353;104;0;1677;0;72;32 
3154;132;0;1577;0;80;52 
2822;104;0;1411;0;60;44 
3011;112;0;1506;0;80;32 
3438;152;0;1719;0;88;64 
3479;140;0;1739;0;96;44 
2555;76;0;1278;0;76;0 
3440;136;0;1720;0;88;48 
2752;108;0;1376;0;68;40 
3905;124;0;1953;0;84;40 
5679;108;0;2840;0;64;44 
3222;136;0;1611;0;96;40 
2866;96;0;1433;0;68;28 
2649;104;0;1325;0;60;44 
3015;100;0;1508;0;80;20 
3873;112;0;1936;0;76;36 
2973;124;0;1487;0;88;36 
3113;136;0;1557;0;100;36 
3204;120;0;1602;0;80;40 
3993;180;0;1996;0;112;68 
3903;140;0;1951;0;84;56 
3283;120;0;1641;0;80;40 
2966;108;0;1483;0;80;28 
2997;84;0;1499;0;72;12 
1920;64;0;960;0;40;24 
3290;156;0;1645;0;108;48 
2669;100;0;1334;0;68;32 
2950;120;0;1475;0;96;24 
4175;132;0;2087;0;96;36 
2938;92;0;1469;0;72;20 
2536;76;0;1268;0;60;16 
3424;132;0;1712;0;96;36 
2781;116;0;1391;0;84;32 
3019;116;0;1510;0;68;48 
2695;86;0;1347;0;64;22 
3074;112;0;1537;0;80;32 
4015;176;0;2008;0;120;56 
3162;104;0;1581;0;72;32 
3361;136;0;1681;0;88;48 
5980;105;0;2990;0;84;21 
2931;119;0;1466;0;72;47 
3226;124;0;1613;0;76;48 
2826;100;0;1413;0;76;24 
3423;144;0;1712;0;108;36 
5927;140;0;2964;0;84;56 
3340;156;0;1670;0;92;64 
3119;89;0;1560;0;61;28 
3056;108;0;1528;0;80;28 
6185;124;0;3093;0;84;40 
3184;132;0;1592;0;88;44 
2506;68;0;1253;0;48;20 
3029;112;0;1515;0;84;28 
3385;128;0;1693;0;96;32 
3625;140;0;1813;0;92;48 
4146;116;0;2073;0;76;40 
4009;140;0;2004;0;104;36 
5748;92;0;2874;0;60;32 
3290;96;0;1645;0;60;36 
2568;100;0;1284;0;72;28 
3400;160;0;1700;0;92;68 
2959;92;0;1480;0;84;8 
3197;124;0;1599;0;76;48 
5549;104;0;2775;0;80;24 
3399;120;0;1699;0;92;28 
3216;164;0;1608;0;108;56 
2902;92;0;1451;0;64;28 
3753;116;0;1877;0;84;32 
3212;132;0;1606;0;88;44 
3433;128;0;1717;0;84;44 
3244;118;0;1622;0;92;26 
5774;132;0;2887;0;92;40 
3267;108;0;1634;0;76;32 
3366;136;0;1683;0;100;36 
2980;136;0;1490;0;84;52 
2794;92;0;1397;0;68;24 
3138;140;0;1569;0;96;44 
2429;76;0;1215;0;52;24 
3513;148;0;1756;0;112;36 
3160;124;0;1580;0;92;32 
3314;124;0;1657;0;84;40 
2729;92;0;1365;0;68;24 
4198;152;0;2099;0;96;56 
2484;100;0;1242;0;68;32 
2328;80;0;1164;0;52;28 
3487;96;0;1744;0;64;32 
3511;116;0;1756;0;76;40 
3366;124;0;1683;0;92;32 
6230;145;0;3115;0;88;57 
3847;136;0;1924;0;100;36 
2618;100;0;1309;0;68;32 
4274;128;0;2137;0;96;32 
5942;132;0;2971;0;80;52 
2802;104;0;1401;0;68;36 
2648;88;0;1324;0;68;20 
3370;128;0;1685;0;92;36 
3268;108;0;1633;0;72;36 
3186;116;0;1593;0;84;32 
2590;88;0;1295;0;56;32 
3605;92;0;1802;0;72;20 
3538;104;0;1769;0;76;28 
3003;124;0;1501;0;84;40 
3185;84;0;1593;0;64;20 
2631;124;0;1316;0;72;52 
2780;108;0;1390;0;72;36 
3803;136;0;1902;0;96;40 
2917;92;0;1458;0;68;24 
5985;136;0;2993;0;92;44 
3665;100;0;1832;0;68;32 
3601;128;0;1800;0;88;40 
1899;48;0;950;0;36;12 
3247;140;0;1623;0;104;36 
2774;100;0;1387;0;68;32 
3402;88;0;1701;0;64;24 
3039;104;0;1520;0;76;28 
3719;144;0;1860;0;100;44 
2974;76;0;1487;0;52;24 
3270;132;0;1635;0;92;40 
3430;128;0;1715;0;100;28 
5502;128;0;2751;0;92;36 
3938;116;0;1969;0;76;40 
3819;128;0;1909;0;76;52 
3145;132;0;1572;0;84;48 
3963;140;0;1982;0;100;40 
4296;120;0;2148;0;80;40 
2933;128;0;1467;0;84;44 
2841;124;0;1421;0;84;40 
3457;140;0;1728;0;96;44 
3054;104;0;1527;0;84;20 
3493;128;0;1747;0;92;36 
4214;104;0;2107;0;80;24 
5646;96;0;2823;0;72;24 
5885;124;0;2943;0;84;40 
2962;116;0;1481;0;72;44 
3443;124;0;1721;0;92;32 
2483;88;0;1241;0;64;24 
3478;132;0;1739;0;92;40 
3007;112;0;1503;0;76;36 
2922;100;0;1461;0;64;36 
3387;128;0;1694;0;84;44 
3207;132;0;1604;0;80;52 
3146;104;0;1573;0;88;16 
3131;112;0;1565;0;76;36 
3316;92;0;1658;0;64;28 
2390;88;0;1195;0;64;24 
3757;88;0;1879;0;68;20 
2289;84;0;1144;0;64;20 
2945;124;0;1473;0;80;44 
2922;97;0;1461;0;76;21 
4405;104;0;2203;0;80;24 
3754;176;0;1877;0;124;52 
3522;140;0;1761;0;100;40 
3476;120;0;1738;0;92;28 
2458;76;0;1229;0;68;8 
3867;140;0;1933;0;96;44 
6491;134;0;3246;0;88;46 
3477;160;0;1739;0;104;56 
2334;64;0;1167;0;48;16 
6552;148;0;3276;0;104;44 
2390;80;0;1195;0;56;24 
3305;116;0;1653;0;92;24 
3522;116;0;1761;0;80;36 
3866;172;0;1933;0;116;56 
3181;116;0;1591;0;84;32 
3439;132;0;1720;0;92;40 
2904;116;0;1452;0;80;36 
6017;136;0;3009;0;96;40 
2565;76;0;1283;0;60;16 
2722;104;0;1361;0;80;24 
3047;128;0;1524;0;76;52 
3413;136;0;1707;0;84;52 
2622;88;0;1311;0;64;24 
4160;168;0;2080;0;108;60 
5428;80;0;2714;0;52;28 
3740;148;0;1870;0;100;48 
2301;68;0;1150;0;48;20 
3518;136;0;1759;0;88;48 
4424;118;0;2212;0;84;34 
2502;100;0;1251;0;64;36 
6106;130;0;3053;0;92;38 
4516;144;0;2258;0;92;52 
3751;104;0;1876;0;76;28 
3100;108;0;1550;0;88;20 
