CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
30461;0;348;599;12;0;3667 
29930;0;354;70;18;0;3669 
29947;0;355;92;13;0;3666 
33293;0;285;76;12;0;3671 
33238;0;288;84;13;0;3671 
33251;0;289;55;18;0;3670 
29920;0;350;86;22;0;3665 
31568;0;344;131;17;0;3669 
29886;0;344;56;13;0;3667 
29881;0;346;52;10;0;3667 
32111;0;345;2220;12;0;3666 
29968;0;347;52;16;0;3668 
30780;0;367;723;17;0;3668 
33263;0;297;57;9;0;3671 
29899;0;345;80;13;0;3666 
29911;0;344;56;17;0;3665 
29894;0;344;88;13;0;3666 
29916;0;348;67;13;0;3667 
33427;0;287;66;8;0;3671 
33262;0;289;66;18;0;3671 
29897;0;352;38;23;0;3668 
33246;0;289;55;8;0;3670 
33245;0;289;79;9;0;3671 
30029;0;341;116;13;0;3668 
33224;0;288;79;17;0;3669 
29943;0;357;101;17;0;3667 
30019;0;350;61;8;0;3667 
33211;0;285;61;9;0;3669 
33316;0;282;89;26;0;3671 
33253;0;289;51;8;0;3671 
30531;0;342;701;13;0;3665 
33234;0;287;89;13;0;3671 
30378;0;346;497;14;0;3665 
32789;0;315;130;16;0;3668 
30524;0;346;660;12;0;3667 
30486;0;349;609;13;0;3667 
32034;0;353;2194;13;0;3668 
33229;0;284;78;13;0;3671 
30313;0;357;98;9;0;3670 
33226;0;297;37;13;0;3671 
30236;0;353;311;17;0;3668 
33465;0;287;37;13;0;3669 
33193;0;285;52;12;0;3671 
33319;0;288;34;16;0;3671 
33253;0;288;76;13;0;3670 
33220;0;288;75;16;0;3671 
29898;0;347;66;13;0;3667 
33602;0;296;72;9;0;3671 
33225;0;290;65;8;0;3671 
30622;0;346;721;23;0;3667 
30132;0;345;299;13;0;3665 
33297;0;285;96;12;0;3671 
30124;0;354;61;16;0;3667 
33389;0;290;48;17;0;3671 
29987;0;346;159;8;0;3666 
33269;0;288;57;9;0;3671 
33265;0;284;74;13;0;3671 
33401;0;290;54;28;0;3673 
33214;0;293;53;23;0;3671 
33226;0;289;71;17;0;3669 
30221;0;345;410;14;0;3665 
33205;0;285;55;13;0;3671 
30618;0;351;672;9;0;3669 
29945;0;348;72;18;0;3667 
33233;0;292;34;16;0;3673 
33226;0;285;71;28;0;3671 
33254;0;287;51;14;0;3669 
30525;0;365;632;10;0;3667 
30152;0;345;298;16;0;3667 
33219;0;291;37;13;0;3671 
31326;0;344;123;18;0;3670 
30791;0;348;624;27;0;3669 
29887;0;346;78;13;0;3667 
30505;0;353;639;11;0;3666 
33220;0;287;72;8;0;3671 
31111;0;350;1209;9;0;3668 
33257;0;290;73;8;0;3671 
33286;0;284;70;24;0;3669 
33256;0;293;79;13;0;3673 
33253;0;289;64;16;0;3671 
29946;0;355;110;9;0;3668 
29924;0;355;61;17;0;3667 
32827;0;301;55;14;0;3670 
33292;0;287;83;17;0;3669 
33453;0;288;65;17;0;3669 
33298;0;293;75;12;0;3673 
29899;0;344;67;13;0;3666 
33276;0;287;62;13;0;3671 
29900;0;352;52;8;0;3667 
30053;0;357;140;16;0;3665 
33281;0;284;69;17;0;3672 
33228;0;293;73;23;0;3671 
33253;0;288;59;17;0;3669 
29939;0;343;59;12;0;3665 
33231;0;288;81;9;0;3671 
29960;0;343;74;9;0;3665 
33207;0;285;57;12;0;3671 
29862;0;345;58;9;0;3667 
29917;0;351;73;27;0;3666 
29897;0;346;52;8;0;3666 
29962;0;353;83;16;0;3669 
33229;0;286;71;8;0;3671 
31615;0;350;1572;8;0;3668 
29919;0;348;83;13;0;3667 
30251;0;371;127;16;0;3667 
30037;0;350;150;9;0;3666 
33201;0;288;57;17;0;3669 
30443;0;348;628;16;0;3666 
33223;0;294;52;13;0;3671 
31616;0;335;141;16;0;3668 
33271;0;287;72;13;0;3669 
33203;0;297;34;17;0;3673 
33361;0;286;61;13;0;3671 
30021;0;354;73;25;0;3669 
30321;0;372;231;16;0;3667 
33212;0;296;48;17;0;3674 
29878;0;341;60;13;0;3665 
30127;0;345;59;17;0;3668 
30812;0;346;768;13;0;3669 
32288;0;343;144;16;0;3670 
29939;0;351;71;15;0;3666 
30158;0;341;304;17;0;3666 
33170;0;286;35;8;0;3671 
33292;0;293;83;8;0;3671 
29943;0;345;75;8;0;3667 
32781;0;297;63;13;0;3670 
33239;0;292;71;23;0;3671 
33213;0;285;71;16;0;3671 
33461;0;302;65;9;0;3673 
30728;0;354;775;16;0;3666 
29904;0;351;75;24;0;3667 
29925;0;357;57;9;0;3669 
33205;0;286;55;9;0;3669 
33335;0;288;50;8;0;3670 
33376;0;348;116;15;0;3671 
33357;0;290;85;9;0;3671 
30650;0;345;756;13;0;3667 
30072;0;347;258;17;0;3667 
33262;0;285;101;12;0;3671 
30505;0;348;687;8;0;3667 
33224;0;286;64;8;0;3669 
29930;0;348;74;13;0;3667 
29898;0;350;48;10;0;3666 
29894;0;346;79;12;0;3667 
33237;0;291;83;9;0;3671 
33220;0;288;72;17;0;3671 
29938;0;354;56;13;0;3669 
30718;0;346;794;9;0;3668 
33243;0;285;81;12;0;3671 
33204;0;286;61;13;0;3671 
33878;0;294;70;8;0;3673 
33241;0;288;88;12;0;3670 
30210;0;349;43;14;0;3669 
31104;0;346;1287;17;0;3667 
31959;0;326;153;18;0;3668 
32855;0;295;74;13;0;3670 
29959;0;347;64;17;0;3667 
30667;0;354;839;13;0;3668 
33513;0;287;34;23;0;3671 
33310;0;289;85;9;0;3671 
33355;0;303;54;11;0;3670 
29998;0;348;102;12;0;3667 
33199;0;292;34;24;0;3671 
33275;0;296;75;12;0;3672 
33280;0;287;122;9;0;3670 
30064;0;355;90;8;0;3669 
31418;0;346;73;8;0;3665 
29915;0;357;69;9;0;3667 
31022;0;344;82;13;0;3666 
33366;0;284;37;12;0;3671 
30083;0;382;96;17;0;3666 
33226;0;293;79;9;0;3671 
33213;0;294;52;23;0;3669 
33225;0;286;48;10;0;3671 
32266;0;344;72;17;0;3666 
30003;0;349;101;9;0;3665 
29869;0;350;56;8;0;3665 
30671;0;346;781;27;0;3665 
29894;0;360;58;11;0;3667 
33270;0;287;71;8;0;3668 
33234;0;293;34;17;0;3671 
29913;0;355;73;23;0;3666 
33264;0;285;53;17;0;3669 
30244;0;354;76;17;0;3669 
33265;0;283;73;13;0;3669 
30534;0;357;641;24;0;3668 
30012;0;348;74;16;0;3669 
30280;0;354;384;13;0;3668 
29906;0;358;41;8;0;3667 
33245;0;290;94;8;0;3671 
30213;0;343;348;13;0;3665 
29875;0;347;64;13;0;3667 
33296;0;298;122;12;0;3672 
29894;0;348;69;8;0;3667 
33263;0;292;68;9;0;3672 
30134;0;344;249;17;0;3668 
30476;0;348;68;16;0;3670 
33290;0;292;84;13;0;3673 
33230;0;299;69;12;0;3671 
33195;0;295;34;16;0;3673 
33187;0;294;36;8;0;3673 
33295;0;285;89;13;0;3671 
33248;0;296;75;13;0;3670 
30607;0;346;694;23;0;3666 
29909;0;350;53;23;0;3668 
33289;0;288;69;13;0;3671 
33261;0;293;99;15;0;3671 
30204;0;345;392;15;0;3667 
32289;0;333;74;16;0;3668 
29932;0;354;69;17;0;3668 
33270;0;296;67;12;0;3673 
29914;0;342;61;17;0;3667 
29900;0;344;70;12;0;3667 
30238;0;376;76;16;0;3670 
29899;0;353;59;8;0;3666 
33250;0;299;74;8;0;3673 
29893;0;348;70;17;0;3667 
29889;0;345;60;12;0;3666 
30689;0;372;657;17;0;3668 
33272;0;291;41;8;0;3673 
33300;0;294;52;13;0;3672 
30109;0;348;259;8;0;3667 
30510;0;346;623;16;0;3666 
31238;0;351;680;15;0;3671 
29863;0;350;55;8;0;3667 
31938;0;346;1353;18;0;3671 
30126;0;344;222;17;0;3666 
30086;0;347;167;29;0;3667 
30262;0;364;427;8;0;3667 
29892;0;349;52;8;0;3667 
30457;0;347;643;13;0;3667 
33401;0;291;71;13;0;3670 
33217;0;295;54;12;0;3673 
33218;0;284;83;13;0;3671 
29959;0;349;52;9;0;3669 
33486;0;289;55;27;0;3673 
33238;0;287;47;17;0;3669 
30499;0;345;629;26;0;3667 
33276;0;288;117;22;0;3671 
33237;0;289;48;16;0;3671 
