CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
545278;0;0;1929;2944;64;0 
542154;0;0;1758;2988;55;0 
546368;0;0;1830;4022;71;0 
551843;0;0;1728;5852;62;0 
545689;0;0;1720;5416;64;0 
544545;0;0;1727;3075;62;0 
545352;0;0;1742;2985;54;0 
541876;0;0;1771;2709;66;0 
545783;0;0;1726;4231;59;0 
543622;0;0;1739;3701;63;0 
547244;0;0;1710;3065;69;0 
542783;0;0;1870;2367;69;0 
545793;0;0;1797;3014;68;0 
542927;0;0;1753;3028;58;0 
549577;0;0;1778;6770;81;0 
542591;0;0;1761;2998;57;0 
548097;0;0;1912;7058;79;0 
544214;0;0;1735;2683;63;0 
543860;0;0;1746;4305;65;0 
547545;0;0;3043;3834;77;0 
545566;0;0;1725;6041;57;0 
546269;0;0;1886;3779;62;0 
543007;0;0;1730;2885;72;0 
541528;0;0;1740;1963;68;0 
543487;0;0;1956;2858;76;0 
543769;0;0;1719;3479;71;0 
546597;0;0;1949;6796;80;0 
543656;0;0;1738;4579;65;0 
542385;0;0;1730;2473;68;0 
545187;0;0;1831;3472;78;0 
543874;0;0;1734;3960;61;0 
547065;0;0;1982;7324;71;0 
545952;0;0;1731;3185;64;0 
542102;0;0;1907;2648;69;0 
544722;0;0;1725;3218;70;0 
552364;0;0;2027;6339;63;0 
546807;0;0;1729;6834;69;0 
545710;0;0;1739;3503;59;0 
546014;0;0;1729;3515;62;0 
545471;0;0;1894;2617;70;0 
546396;0;0;1747;6322;62;0 
545311;0;0;1726;5763;62;0 
543841;0;0;1969;4367;65;0 
545056;0;0;1736;1852;94;0 
540971;0;0;1752;1744;53;0 
543858;0;0;1713;3562;65;0 
552437;0;0;1744;5355;58;0 
542591;0;0;1926;3081;61;0 
544511;0;0;1732;3094;54;0 
548756;0;0;1857;4486;71;0 
542316;0;0;1810;2663;67;0 
542317;0;0;1738;2617;66;0 
545304;0;0;1825;3609;67;0 
543083;0;0;1747;2484;60;0 
545345;0;0;1724;2991;69;0 
545752;0;0;1750;3254;61;0 
553862;0;0;2745;6123;61;0 
543801;0;0;1723;3233;63;0 
543377;0;0;1734;3212;68;0 
542225;0;0;1770;2754;67;0 
555165;0;0;1745;9706;61;0 
541524;0;0;1752;2566;67;0 
542656;0;0;1940;2661;58;0 
542418;0;0;1922;2166;58;0 
542030;0;0;1717;3011;58;0 
545162;0;0;1871;4150;63;0 
542260;0;0;1737;3108;69;0 
544179;0;0;1933;3822;71;0 
545266;0;0;1744;3300;65;0 
542802;0;0;1743;3231;65;0 
543942;0;0;1720;3136;65;0 
550627;0;0;1764;7906;63;0 
541719;0;0;1747;2554;61;0 
547078;0;0;2176;5642;67;0 
545476;0;0;1761;5784;61;0 
542577;0;0;1760;3234;66;0 
542255;0;0;1739;2753;64;0 
541737;0;0;1878;2323;61;0 
546391;0;0;1725;3563;60;0 
549376;0;0;1933;5586;73;0 
544388;0;0;1719;3751;63;0 
551007;0;0;1746;9500;73;0 
543953;0;0;1750;2185;64;0 
