CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
624581;51650;1;1;2741;0;0 
623793;51650;1;1;2750;0;0 
623589;51650;1;1;2751;0;0 
622639;51650;1;1;2710;0;0 
625587;51650;1;1;2735;0;0 
623603;51650;1;1;2676;0;0 
622722;51650;1;1;2720;0;0 
625487;51650;1;1;2701;0;0 
623364;51650;1;1;2734;0;0 
625834;51650;1;1;2682;0;0 
627896;51650;1;1;2763;0;0 
626168;51650;1;1;2722;0;0 
627676;51650;1;1;2700;0;0 
624136;51650;1;1;2738;0;0 
626229;51650;1;1;2752;0;0 
622969;51650;1;1;2727;0;0 
624829;51650;1;1;2731;0;0 
625279;51650;1;1;2740;0;0 
624897;51651;1;1;2729;0;0 
624467;51650;1;1;2710;0;0 
626296;51651;1;1;2720;0;0 
625418;51650;1;1;2737;0;0 
626867;51650;1;1;2734;0;0 
626523;51650;1;1;2741;0;0 
627183;51650;1;1;2720;0;0 
622850;51650;1;1;2778;0;0 
625872;51650;1;1;2683;0;0 
623676;51650;1;1;2783;0;0 
623247;51650;1;1;2720;0;0 
623138;51650;1;1;2706;0;0 
626311;51650;1;1;2735;0;0 
623610;51650;1;1;2744;0;0 
623894;51650;1;1;2744;0;0 
626918;51650;1;1;2785;0;0 
626417;51650;1;1;2735;0;0 
622934;51651;1;1;2712;0;0 
622685;51651;1;1;2740;0;0 
625493;51650;1;1;2711;0;0 
623085;51651;1;1;2715;0;0 
623673;51650;1;1;2742;0;0 
624762;51650;1;1;2748;0;0 
624924;51650;1;1;2686;0;0 
626051;51650;1;1;2732;0;0 
623710;51650;1;1;2728;0;0 
624202;51651;1;1;2770;0;0 
623005;51650;1;1;2684;0;0 
624201;51650;1;1;2767;0;0 
626340;51650;1;1;2740;0;0 
623895;51651;1;1;2707;0;0 
624606;51650;1;1;2697;0;0 
623405;51650;1;1;2742;0;0 
623177;51650;1;1;2728;0;0 
624847;51650;1;1;2720;0;0 
623845;51651;1;1;2691;0;0 
625515;51650;1;1;2741;0;0 
623460;51650;1;1;2714;0;0 
624847;51650;1;1;2709;0;0 
623451;51650;1;1;2748;0;0 
623114;51650;1;1;2688;0;0 
625626;51650;1;1;2740;0;0 
