CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
2512036;112755;7;7;3409;0;0 
2513779;112755;9;9;3422;0;0 
2515089;112755;7;7;3415;0;0 
2513770;112754;9;9;3431;0;0 
2515115;112754;7;7;3419;0;0 
2512521;112754;5;5;3414;0;0 
2517598;112754;9;9;3432;0;0 
2517948;112755;7;7;3440;0;0 
2516471;112754;12;12;3452;0;0 
2514096;112754;6;6;3430;0;0 
2512753;112754;7;7;3437;0;0 
2513690;112754;7;7;3435;0;0 
2515235;112754;7;7;3413;0;0 
2516666;112755;12;12;3439;0;0 
2512443;112754;7;7;3436;0;0 
2515564;112754;6;6;3432;0;0 
2515202;112754;7;7;3412;0;0 
2519151;112754;7;7;3423;0;0 
2517376;112754;9;9;3448;0;0 
2515391;112754;7;7;3409;0;0 
2515408;112754;7;7;3425;0;0 
2514574;112754;7;7;3422;0;0 
2516103;112756;7;7;3405;0;0 
2517040;112754;11;11;3421;0;0 
2515901;112754;6;6;3429;0;0 
2517315;112754;6;6;3414;0;0 
2515555;112754;7;7;3432;0;0 
2515463;112755;7;7;3419;0;0 
2517091;112754;9;9;3434;0;0 
2516566;112755;7;7;3428;0;0 
2512936;112754;6;6;3426;0;0 
2515756;112754;7;7;3411;0;0 
2515230;112754;7;7;3427;0;0 
2516039;112754;10;10;3437;0;0 
2515193;112754;8;8;3415;0;0 
2515299;112754;6;6;3440;0;0 
2515177;112754;6;6;3430;0;0 
2513808;112754;7;7;3442;0;0 
2515022;112754;9;9;3435;0;0 
2512709;112754;6;6;3418;0;0 
2514662;112754;7;7;3449;0;0 
2513309;112754;7;7;3406;0;0 
2512978;112755;8;8;3438;0;0 
2516133;112754;10;10;3427;0;0 
2515090;112754;7;7;3419;0;0 
2516179;112755;9;9;3416;0;0 
2514760;112754;7;7;3423;0;0 
2512868;112754;7;7;3423;0;0 
2512318;112755;7;7;3412;0;0 
2515464;112754;6;6;3418;0;0 
2517113;112754;9;9;3414;0;0 
2514267;112754;6;6;3412;0;0 
2515356;112754;6;6;3431;0;0 
2515529;112754;6;6;3408;0;0 
2514878;112754;7;7;3407;0;0 
2515329;112754;9;9;3415;0;0 
2514946;112754;6;6;3413;0;0 
2515411;112754;7;7;3419;0;0 
2514983;112755;7;7;3423;0;0 
2514303;112754;7;7;3425;0;0 
2517091;112754;9;9;3426;0;0 
2515583;112755;7;7;3442;0;0 
2515486;112754;7;7;3437;0;0 
2515332;112754;7;7;3412;0;0 
2515482;112754;7;7;3414;0;0 
2516469;112755;10;10;3454;0;0 
2516067;112754;7;7;3421;0;0 
2514748;112754;6;6;3413;0;0 
2515342;112754;6;6;3417;0;0 
2513590;112756;7;7;3409;0;0 
2517654;112754;9;9;3434;0;0 
2515325;112754;6;6;3440;0;0 
2517071;112755;6;6;3436;0;0 
2516578;112754;6;6;3451;0;0 
2514420;112754;7;7;3446;0;0 
2516648;112754;9;9;3415;0;0 
2515855;112754;6;6;3431;0;0 
2514644;112755;8;8;3413;0;0 
2515100;112754;6;6;3410;0;0 
2514874;112754;6;6;3419;0;0 
2516988;112754;9;9;3432;0;0 
2514339;112754;7;7;3429;0;0 
2514633;112754;9;9;3472;0;0 
2514479;112754;7;7;3442;0;0 
2514738;112755;7;7;3437;0;0 
2515256;112754;7;7;3410;0;0 
2512828;112754;7;7;3428;0;0 
2515220;112754;10;10;3435;0;0 
2512863;112754;7;7;3448;0;0 
2515632;112754;5;5;3421;0;0 
2514412;112754;7;7;3419;0;0 
2514661;112754;6;6;3418;0;0 
2514647;112754;9;9;3416;0;0 
2514758;112754;7;7;3408;0;0 
2514994;112754;6;6;3419;0;0 
2512968;112754;6;6;3420;0;0 
2514096;112754;7;7;3407;0;0 
2513838;112755;10;10;3431;0;0 
2514967;112754;7;7;3413;0;0 
2515390;112755;7;7;3427;0;0 
2514650;112754;6;6;3410;0;0 
2514565;112755;7;7;3442;0;0 
2516465;112754;9;9;3451;0;0 
2515417;112754;7;7;3427;0;0 
2515317;112754;7;7;3403;0;0 
2513288;112754;7;7;3430;0;0 
2515837;112754;7;7;3422;0;0 
2517275;112754;10;10;3430;0;0 
2514283;112755;7;7;3416;0;0 
2516108;112755;6;6;3439;0;0 
2512522;112754;6;6;3419;0;0 
2512510;112754;6;6;3406;0;0 
2515895;112754;10;10;3450;0;0 
2516540;112755;7;7;3439;0;0 
2515662;112754;8;8;3433;0;0 
2516588;112754;7;7;3436;0;0 
2515544;112754;5;5;3425;0;0 
2516171;112755;10;10;3419;0;0 
2515646;112754;7;7;3419;0;0 
2517174;112754;8;8;3432;0;0 
2516421;112754;6;6;3432;0;0 
2514372;112754;6;6;3433;0;0 
2515969;112754;9;9;3422;0;0 
2513115;112754;7;7;3424;0;0 
2514857;112754;12;12;3429;0;0 
2515655;112754;6;6;3434;0;0 
2516072;112754;7;7;3427;0;0 
2514362;112754;7;7;3404;0;0 
2513634;112755;7;7;3414;0;0 
2516447;112754;10;10;3413;0;0 
2514260;112754;6;6;3407;0;0 
2514814;112754;7;7;3417;0;0 
2512762;112754;7;7;3439;0;0 
2514863;112754;6;6;3416;0;0 
2516531;112755;11;11;3447;0;0 
2513742;112754;6;6;3440;0;0 
2515425;112754;7;7;3425;0;0 
2513708;112754;7;7;3439;0;0 
2512477;112754;7;7;3439;0;0 
2516323;112754;10;10;3420;0;0 
2516601;112754;7;7;3423;0;0 
2515547;112754;6;6;3443;0;0 
2516169;112754;7;7;3432;0;0 
2517814;112754;7;7;3446;0;0 
2517295;112756;12;12;3437;0;0 
2515153;112754;6;6;3420;0;0 
2516671;112754;6;6;3415;0;0 
2516437;112754;7;7;3404;0;0 
2513372;112754;6;6;3413;0;0 
2517483;112754;10;10;3448;0;0 
2516953;112754;6;6;3439;0;0 
2518993;112754;7;7;3419;0;0 
2512987;112755;7;7;3404;0;0 
2514247;112754;6;6;3430;0;0 
2515744;112754;9;9;3442;0;0 
2515441;112754;6;6;3422;0;0 
2512632;112755;7;7;3447;0;0 
2517944;112755;6;6;3426;0;0 
2516245;112754;6;6;3419;0;0 
2516193;112754;8;8;3421;0;0 
2515051;112754;7;7;3407;0;0 
2514532;112754;10;10;3435;0;0 
2515248;112754;6;6;3427;0;0 
2512840;112754;6;6;3427;0;0 
2516132;112754;11;11;3417;0;0 
2514896;112754;6;6;3437;0;0 
2513827;112754;9;9;3430;0;0 
2513524;112754;6;6;3410;0;0 
2514253;112756;7;7;3425;0;0 
2513858;112754;6;6;3448;0;0 
