CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
3322;0;31;1;1;6;0 
1885;0;31;1;1;9;0 
4339;0;31;1;1;6;0 
2794;0;31;1;1;8;0 
4410;0;31;1;1;9;0 
4283;0;31;1;1;7;0 
1888;0;31;1;1;9;0 
3540;0;31;1;1;7;0 
1740;0;31;1;1;8;0 
1836;0;31;1;1;8;0 
1705;0;31;1;1;9;0 
1748;0;31;1;1;7;0 
1829;0;31;1;1;7;0 
1776;0;31;1;1;6;0 
2318;0;31;1;1;7;0 
1854;0;31;1;1;8;0 
1862;0;31;1;1;8;0 
1644;0;31;1;1;8;0 
4542;0;31;1;1;8;0 
1766;0;31;1;1;7;0 
4320;0;31;1;1;7;0 
2229;0;31;1;1;9;0 
1804;0;31;1;1;7;0 
2114;0;31;1;1;7;0 
3985;0;31;1;1;6;0 
2144;0;31;1;1;8;0 
2137;0;31;1;1;10;0 
1354;0;31;1;1;7;0 
1769;0;31;1;1;11;0 
2326;0;31;1;1;12;0 
3224;0;31;1;1;8;0 
1967;0;31;1;1;6;0 
2104;0;31;1;1;8;0 
3581;0;31;1;1;7;0 
2747;0;31;1;1;7;0 
1972;0;31;1;1;4;0 
3725;0;31;1;1;8;0 
2662;0;31;1;1;8;0 
2136;0;31;1;1;5;0 
1370;0;31;1;1;6;0 
1546;0;31;1;1;7;0 
1754;0;31;1;1;8;0 
5398;0;31;1;1;11;0 
2074;0;31;1;1;9;0 
2189;0;31;1;1;10;0 
1744;0;31;1;1;12;0 
5195;0;31;1;1;8;0 
3903;0;31;1;1;7;0 
1750;0;31;1;1;7;0 
1805;0;31;1;1;10;0 
1377;0;31;1;1;8;0 
2178;0;31;1;1;7;0 
1213;0;31;1;1;10;0 
1894;0;31;1;1;9;0 
1963;0;31;1;1;8;0 
1615;0;31;1;1;6;0 
3841;0;31;1;1;8;0 
1628;0;31;1;1;8;0 
1774;0;31;1;1;7;0 
2273;0;31;1;1;8;0 
4310;0;31;1;1;10;0 
3118;0;31;1;1;7;0 
1643;0;31;1;1;10;0 
1843;0;31;1;1;7;0 
1772;0;31;1;1;6;0 
4590;0;31;1;1;12;0 
