CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
3594;1;0;0;46;0;3 
2776;1;0;0;46;0;3 
2122;1;0;0;48;0;3 
3757;1;0;0;51;0;9 
2918;1;0;0;48;0;2 
3603;1;0;0;52;0;10 
2799;1;0;0;56;0;7 
2733;1;0;0;48;0;2 
2444;1;0;0;47;0;3 
2145;1;0;0;49;0;2 
5543;1;0;0;51;0;3 
2687;1;0;0;46;0;2 
3002;1;0;0;48;0;3 
4151;1;0;0;47;0;3 
3261;1;0;0;44;0;2 
3250;1;0;0;45;0;3 
3650;1;0;0;44;0;2 
2954;1;0;0;49;0;3 
2337;1;0;0;39;0;0 
2904;1;0;0;49;0;3 
3576;1;0;0;46;0;2 
3194;1;0;0;50;0;2 
2785;1;0;0;39;0;0 
3841;1;0;0;51;0;7 
3043;1;0;0;44;0;0 
2625;1;0;0;46;0;3 
2973;1;0;0;43;0;0 
2639;1;0;0;46;0;3 
2676;1;0;0;54;0;7 
2823;1;0;0;47;0;2 
1945;1;0;0;41;0;0 
2328;1;0;0;45;0;2 
2828;1;0;0;50;0;2 
2605;1;0;0;48;0;2 
1925;1;0;0;46;0;2 
2782;1;0;0;41;0;0 
2640;1;0;0;47;0;2 
3140;1;0;0;48;0;2 
2124;1;0;0;48;0;3 
2836;1;0;0;50;0;3 
3132;1;0;0;48;0;3 
2177;1;0;0;49;0;2 
2273;1;0;0;44;0;2 
2526;1;0;0;52;0;7 
2295;1;0;0;46;0;2 
2412;1;0;0;46;0;3 
2359;1;0;0;53;0;3 
3171;1;0;0;46;0;3 
1616;1;0;0;42;0;0 
2930;1;0;0;48;0;4 
1913;1;0;0;48;0;2 
3188;1;0;0;47;0;3 
2031;1;0;0;49;0;2 
2296;1;0;0;47;0;2 
1813;1;0;0;48;0;2 
2914;1;0;0;47;0;3 
3719;1;0;0;42;0;0 
2503;1;0;0;52;0;3 
2616;1;0;0;45;0;2 
2427;1;0;0;43;0;0 
2384;1;0;0;42;0;2 
2300;1;0;0;48;0;2 
3335;1;0;0;49;0;3 
