Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x00;matmult_perf_n1_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xD1;matmult_perf_n9_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xD0;matmult_perf_n8_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x09;matmult_perf_n2_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC6;matmult_perf_n7_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xC1;matmult_perf_n6_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x87;matmult_perf_n6_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x7A;matmult_perf_n6_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x1E;matmult_perf_n5_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x1A;matmult_perf_n5_even...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0xE3;matmult_perf_n10_eve...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0F;matmult_perf_n3_even...;0,0001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
0x0E;matmult_perf_n3_even...;0,0001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
