CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
2540;8;0;1270;0;8;0 
609;12;0;305;0;12;0 
601;16;0;300;0;12;4 
2822;12;0;1411;0;12;0 
3000;24;0;1500;0;16;8 
705;16;0;352;0;12;4 
2921;12;0;1461;0;4;8 
634;16;0;317;0;12;4 
675;8;0;338;0;8;0 
647;4;0;324;0;4;0 
596;12;0;298;0;12;0 
649;4;0;325;0;4;0 
689;12;0;344;0;12;0 
1652;4;0;826;0;4;0 
655;12;0;328;0;4;8 
1609;9;0;805;0;5;4 
682;12;0;341;0;12;0 
2760;8;0;1380;0;4;4 
1950;8;0;975;0;4;4 
588;16;0;294;0;12;4 
627;8;0;314;0;8;0 
686;12;0;343;0;12;0 
722;16;0;361;0;8;8 
693;15;0;347;0;11;4 
3532;8;0;1766;0;4;4 
621;12;0;311;0;12;0 
696;4;0;348;0;4;0 
669;8;0;335;0;4;4 
645;4;0;322;0;4;0 
1626;4;0;813;0;4;0 
671;4;0;335;0;4;0 
1400;4;0;700;0;4;0 
809;20;0;404;0;12;8 
1400;4;0;700;0;4;0 
640;4;0;320;0;4;0 
1582;4;0;791;0;4;0 
650;4;0;325;0;4;0 
615;8;0;307;0;4;4 
711;8;0;356;0;4;4 
2620;12;0;1310;0;12;0 
654;4;0;327;0;4;0 
744;8;0;372;0;8;0 
764;8;0;382;0;8;0 
2760;8;0;1380;0;4;4 
711;12;0;355;0;12;0 
1954;12;0;977;0;12;0 
627;8;0;314;0;8;0 
629;4;0;315;0;4;0 
738;4;0;369;0;4;0 
2889;8;0;1445;0;4;4 
663;12;0;332;0;12;0 
1738;4;0;869;0;4;0 
681;4;0;341;0;4;0 
637;4;0;318;0;4;0 
640;4;0;320;0;4;0 
607;4;0;303;0;4;0 
650;12;0;325;0;12;0 
985;16;0;492;0;8;8 
623;4;0;311;0;4;0 
935;20;0;467;0;12;8 
659;4;0;330;0;4;0 
921;4;0;461;0;4;0 
3046;16;0;1523;0;12;4 
648;12;0;324;0;12;0 
603;16;0;301;0;12;4 
636;12;0;318;0;4;8 
1840;4;0;920;0;4;0 
655;4;0;328;0;4;0 
688;4;0;344;0;4;0 
713;4;0;357;0;4;0 
690;4;0;345;0;4;0 
711;12;0;355;0;12;0 
631;12;0;316;0;12;0 
670;8;0;335;0;8;0 
652;8;0;326;0;4;4 
604;20;0;302;0;12;8 
664;4;0;332;0;4;0 
592;16;0;296;0;12;4 
813;8;0;406;0;4;4 
626;8;0;313;0;4;4 
666;4;0;333;0;4;0 
631;8;0;316;0;4;4 
654;4;0;327;0;4;0 
2188;26;0;1094;0;18;8 
652;8;0;326;0;4;4 
636;16;0;318;0;8;8 
745;8;0;373;0;8;0 
2888;4;0;1444;0;4;0 
650;4;0;325;0;4;0 
2358;4;0;1179;0;4;0 
676;4;0;338;0;4;0 
681;12;0;340;0;12;0 
755;16;0;377;0;12;4 
1655;36;0;827;0;16;20 
2521;16;0;1261;0;12;4 
600;20;0;300;0;16;4 
597;12;0;298;0;12;0 
704;8;0;352;0;4;4 
609;4;0;305;0;4;0 
625;12;0;312;0;12;0 
852;8;0;426;0;8;0 
736;12;0;368;0;12;0 
649;24;0;324;0;12;12 
2597;12;0;1298;0;12;0 
646;4;0;323;0;4;0 
713;14;0;357;0;14;0 
2621;4;0;1311;0;4;0 
722;4;0;361;0;4;0 
637;12;0;319;0;12;0 
624;20;0;312;0;12;8 
589;12;0;295;0;12;0 
1495;8;0;748;0;4;4 
651;8;0;326;0;8;0 
628;12;0;314;0;12;0 
846;20;0;423;0;16;4 
946;12;0;473;0;8;4 
1631;12;0;816;0;4;8 
2461;16;0;1231;0;8;8 
614;12;0;307;0;12;0 
658;4;0;329;0;4;0 
627;8;0;314;0;4;4 
616;4;0;308;0;4;0 
804;20;0;402;0;12;8 
610;20;0;305;0;12;8 
3207;4;0;1603;0;4;0 
662;4;0;331;0;4;0 
2336;16;0;1168;0;16;0 
622;8;0;311;0;4;4 
2757;12;0;1378;0;8;4 
626;4;0;313;0;4;0 
609;12;0;305;0;12;0 
647;4;0;323;0;4;0 
2256;8;0;1128;0;5;3 
609;12;0;304;0;12;0 
622;4;0;311;0;4;0 
683;8;0;342;0;4;4 
3877;16;0;1939;0;16;0 
1153;16;0;576;0;12;4 
1646;12;0;823;0;4;8 
691;12;0;346;0;12;0 
656;4;0;328;0;4;0 
863;16;0;432;0;12;4 
660;12;0;330;0;4;8 
952;12;0;476;0;4;8 
610;12;0;305;0;8;4 
650;4;0;325;0;4;0 
3560;20;0;1780;0;16;4 
2264;15;0;1132;0;11;4 
670;12;0;335;0;8;4 
776;8;0;388;0;8;0 
709;4;0;354;0;4;0 
1066;12;0;533;0;8;4 
681;4;0;340;0;4;0 
677;16;0;339;0;12;4 
2587;8;0;1294;0;8;0 
664;8;0;332;0;8;0 
644;4;0;322;0;4;0 
