CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
1798;17;1;1;4;0;0 
943;17;1;1;5;0;0 
2066;17;1;1;4;0;0 
637;17;1;1;4;0;0 
636;17;1;1;4;0;0 
666;17;1;1;4;0;0 
609;17;1;1;4;0;0 
2017;17;1;1;3;0;0 
641;17;1;1;3;0;0 
644;17;1;1;4;0;0 
1633;17;1;1;4;0;0 
657;17;1;1;4;0;0 
642;17;1;1;4;0;0 
736;17;1;1;5;0;0 
622;17;1;1;4;0;0 
1642;17;1;1;3;0;0 
670;17;1;1;4;0;0 
662;17;1;1;4;0;0 
621;17;1;1;4;0;0 
677;17;1;1;4;0;0 
2025;17;1;1;4;0;0 
703;17;1;1;4;0;0 
3342;17;1;1;4;0;0 
662;17;1;1;4;0;0 
637;17;1;1;4;0;0 
3078;17;1;1;4;0;0 
784;17;1;1;4;0;0 
2706;17;1;1;4;0;0 
638;17;1;1;4;0;0 
606;17;1;1;4;0;0 
750;17;1;1;4;0;0 
683;17;1;1;4;0;0 
761;17;1;1;4;0;0 
1331;17;1;1;4;0;0 
846;17;1;1;4;0;0 
855;17;1;1;4;0;0 
607;17;1;1;4;0;0 
636;17;1;1;4;0;0 
770;17;1;1;4;0;0 
606;17;1;1;4;0;0 
664;17;1;1;4;0;0 
2559;17;1;1;4;0;0 
630;17;1;1;3;0;0 
676;17;1;1;5;0;0 
2770;17;1;1;4;0;0 
874;17;1;1;4;0;0 
651;17;1;1;4;0;0 
666;17;1;1;4;0;0 
639;17;1;1;4;0;0 
620;17;1;1;4;0;0 
638;17;1;1;4;0;0 
686;17;1;1;4;0;0 
741;17;1;1;4;0;0 
1076;17;1;1;4;0;0 
599;17;1;1;4;0;0 
639;17;1;1;4;0;0 
672;17;1;1;3;0;0 
1317;17;1;1;4;0;0 
648;17;1;1;4;0;0 
693;17;1;1;4;0;0 
1619;17;1;1;4;0;0 
761;17;1;1;3;0;0 
622;17;1;1;4;0;0 
627;17;1;1;4;0;0 
1576;17;1;1;4;0;0 
1818;17;1;1;4;0;0 
762;17;1;1;4;0;0 
614;17;1;1;4;0;0 
1346;17;1;1;4;0;0 
626;17;1;1;4;0;0 
640;17;1;1;4;0;0 
616;17;1;1;4;0;0 
2065;17;1;1;3;0;0 
641;17;1;1;4;0;0 
675;17;1;1;4;0;0 
2921;17;1;1;4;0;0 
630;17;1;1;4;0;0 
635;17;1;1;4;0;0 
797;17;1;1;4;0;0 
786;17;1;1;4;0;0 
653;17;1;1;4;0;0 
734;17;1;1;4;0;0 
2578;17;1;1;4;0;0 
625;17;1;1;4;0;0 
621;17;1;1;4;0;0 
761;17;1;1;4;0;0 
1010;17;1;1;4;0;0 
698;17;1;1;4;0;0 
663;17;1;1;4;0;0 
815;17;1;1;4;0;0 
612;17;1;1;4;0;0 
655;17;1;1;4;0;0 
931;17;1;1;4;0;0 
644;17;1;1;4;0;0 
1824;17;1;1;4;0;0 
670;17;1;1;4;0;0 
634;17;1;1;4;0;0 
680;17;1;1;4;0;0 
1496;17;1;1;4;0;0 
661;17;1;1;4;0;0 
599;17;1;1;4;0;0 
846;17;1;1;4;0;0 
667;17;1;1;4;0;0 
638;17;1;1;4;0;0 
2189;17;1;1;4;0;0 
751;17;1;1;4;0;0 
1625;17;1;1;4;0;0 
1747;17;1;1;4;0;0 
623;17;1;1;3;0;0 
642;17;1;1;4;0;0 
712;17;1;1;4;0;0 
626;17;1;1;4;0;0 
734;17;1;1;4;0;0 
2067;17;1;1;5;0;0 
635;17;1;1;4;0;0 
612;17;1;1;4;0;0 
690;17;1;1;4;0;0 
658;17;1;1;4;0;0 
2898;17;1;1;4;0;0 
