CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
638;4;0;319;0;4;0 
782;8;0;391;0;8;0 
671;8;0;335;0;4;4 
722;16;0;361;0;12;4 
753;8;0;377;0;8;0 
816;16;0;408;0;16;0 
2731;16;0;1365;0;12;4 
1547;40;0;774;0;20;20 
1085;4;0;542;0;4;0 
626;4;0;313;0;4;0 
735;4;0;367;0;4;0 
2217;4;0;1109;0;4;0 
773;4;0;387;0;4;0 
642;12;0;321;0;4;8 
1547;4;0;774;0;4;0 
892;32;0;446;0;16;16 
782;8;0;391;0;4;4 
663;8;0;331;0;4;4 
3066;12;0;1533;0;12;0 
632;4;0;316;0;4;0 
2514;8;0;1257;0;4;4 
811;16;0;406;0;16;0 
664;4;0;332;0;4;0 
714;12;0;357;0;4;8 
722;8;0;361;0;4;4 
1140;14;0;570;0;14;0 
620;4;0;310;0;4;0 
673;4;0;336;0;4;0 
796;16;0;398;0;16;0 
778;4;0;389;0;4;0 
611;16;0;306;0;12;4 
670;16;0;335;0;4;12 
833;16;0;417;0;12;4 
649;12;0;325;0;8;4 
743;12;0;371;0;12;0 
1579;4;0;789;0;4;0 
662;8;0;331;0;8;0 
635;12;0;317;0;12;0 
620;4;0;310;0;4;0 
637;20;0;318;0;16;4 
851;8;0;425;0;8;0 
635;4;0;318;0;4;0 
674;4;0;337;0;4;0 
725;8;0;363;0;4;4 
709;4;0;355;0;4;0 
632;12;0;316;0;12;0 
662;12;0;331;0;4;8 
683;20;0;341;0;12;8 
843;4;0;421;0;4;0 
630;8;0;315;0;4;4 
656;4;0;328;0;4;0 
618;12;0;309;0;12;0 
657;4;0;329;0;4;0 
617;20;0;309;0;12;8 
1365;18;0;683;0;10;8 
613;16;0;306;0;12;4 
610;8;0;305;0;8;0 
643;4;0;321;0;4;0 
1004;16;0;502;0;16;0 
684;4;0;342;0;4;0 
635;12;0;317;0;8;4 
665;4;0;332;0;4;0 
745;12;0;372;0;12;0 
778;12;0;389;0;12;0 
680;8;0;340;0;4;4 
693;8;0;346;0;4;4 
935;4;0;468;0;4;0 
616;8;0;308;0;4;4 
1739;8;0;870;0;8;0 
632;12;0;316;0;12;0 
633;4;0;316;0;4;0 
1141;20;0;570;0;20;0 
892;16;0;446;0;8;8 
608;16;0;304;0;12;4 
2787;8;0;1394;0;8;0 
606;8;0;303;0;4;4 
1117;12;0;558;0;12;0 
767;16;0;384;0;12;4 
748;2;0;374;0;2;0 
677;8;0;339;0;4;4 
1531;12;0;766;0;8;4 
650;12;0;325;0;4;8 
1320;8;0;660;0;8;0 
656;8;0;328;0;4;4 
729;12;0;365;0;8;4 
719;4;0;360;0;4;0 
642;12;0;321;0;12;0 
686;4;0;343;0;4;0 
3484;12;0;1742;0;8;4 
1588;4;0;794;0;4;0 
605;4;0;302;0;4;0 
2315;12;0;1157;0;8;4 
627;12;0;314;0;12;0 
676;4;0;338;0;4;0 
669;8;0;334;0;4;4 
2241;16;0;1120;0;12;4 
744;4;0;372;0;4;0 
621;8;0;310;0;4;4 
1214;8;0;607;0;8;0 
698;20;0;349;0;12;8 
839;20;0;420;0;16;4 
634;12;0;317;0;8;4 
1239;12;0;620;0;12;0 
2694;4;0;1347;0;4;0 
1060;4;0;530;0;4;0 
1194;4;0;597;0;4;0 
640;12;0;320;0;12;0 
595;16;0;298;0;12;4 
616;12;0;308;0;12;0 
841;16;0;421;0;16;0 
1631;16;0;815;0;16;0 
668;8;0;334;0;4;4 
1313;8;0;656;0;8;0 
692;8;0;346;0;4;4 
2218;12;0;1109;0;12;0 
625;4;0;313;0;4;0 
1916;12;0;958;0;12;0 
2626;4;0;1313;0;4;0 
651;12;0;326;0;12;0 
4413;32;0;2206;0;24;8 
667;8;0;334;0;8;0 
652;4;0;326;0;4;0 
874;16;0;437;0;8;8 
717;16;0;358;0;12;4 
632;16;0;316;0;16;0 
634;12;0;317;0;4;8 
1583;4;0;792;0;4;0 
789;16;0;395;0;12;4 
616;16;0;308;0;12;4 
621;16;0;311;0;12;4 
707;12;0;354;0;8;4 
665;8;0;333;0;8;0 
681;16;0;341;0;12;4 
652;16;0;326;0;16;0 
710;12;0;355;0;12;0 
696;4;0;348;0;4;0 
635;4;0;318;0;4;0 
651;4;0;325;0;4;0 
2287;8;0;1143;0;4;4 
683;8;0;342;0;8;0 
1625;8;0;812;0;4;4 
620;4;0;310;0;4;0 
2955;16;0;1478;0;16;0 
618;12;0;309;0;12;0 
609;4;0;305;0;4;0 
889;4;0;444;0;4;0 
691;4;0;346;0;4;0 
1608;8;0;804;0;8;0 
850;16;0;425;0;12;4 
1059;8;0;529;0;8;0 
979;16;0;489;0;12;4 
861;12;0;430;0;12;0 
760;8;0;380;0;4;4 
1000;21;0;500;0;9;12 
677;4;0;339;0;4;0 
786;20;0;393;0;16;4 
621;4;0;310;0;4;0 
688;16;0;344;0;12;4 
730;16;0;365;0;12;4 
651;8;0;326;0;8;0 
798;4;0;399;0;4;0 
2461;16;0;1231;0;16;0 
688;8;0;344;0;4;4 
624;8;0;312;0;4;4 
624;8;0;312;0;8;0 
655;4;0;327;0;4;0 
643;12;0;322;0;12;0 
2179;4;0;1090;0;4;0 
640;12;0;320;0;4;8 
652;8;0;326;0;4;4 
699;4;0;349;0;4;0 
662;4;0;331;0;4;0 
624;12;0;312;0;8;4 
1875;4;0;938;0;4;0 
618;16;0;309;0;12;4 
2153;4;0;1077;0;4;0 
937;4;0;469;0;4;0 
1409;11;0;704;0;7;4 
606;4;0;303;0;4;0 
725;8;0;362;0;4;4 
684;20;0;342;0;16;4 
631;12;0;315;0;12;0 
745;8;0;372;0;4;4 
951;4;0;476;0;4;0 
833;32;0;416;0;16;16 
