CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
623633;1;0;0;109;0;0 
628551;1;2;0;127;0;0 
625733;1;0;0;108;0;0 
624378;1;2;0;154;0;0 
625880;1;0;0;114;0;0 
624529;1;2;0;148;0;0 
627202;1;0;0;114;0;0 
624637;1;2;0;150;0;0 
623015;1;0;0;109;0;0 
628641;1;3;0;189;0;0 
625584;1;0;0;113;0;0 
626207;1;2;0;144;0;0 
625627;1;0;0;108;0;0 
624924;1;2;0;149;0;0 
623354;1;0;0;109;0;0 
627568;1;2;0;151;0;0 
625325;1;1;0;130;0;0 
626432;1;2;0;134;0;0 
625980;1;2;0;135;0;0 
623544;1;1;0;129;0;0 
626791;1;1;0;130;0;0 
623954;1;0;0;114;0;0 
624151;1;2;0;141;0;0 
626491;1;1;0;135;0;0 
626456;1;1;0;130;0;0 
625838;1;0;0;109;0;0 
625266;1;2;0;139;0;0 
622338;1;0;0;109;0;0 
627039;1;2;0;139;0;0 
626138;1;1;0;136;0;0 
626840;1;2;0;158;0;0 
625956;1;0;0;107;0;0 
624002;1;2;0;156;0;0 
622575;1;0;0;107;0;0 
626209;1;2;0;149;0;0 
625191;1;0;0;116;0;0 
624647;1;2;0;161;0;0 
622794;1;0;0;111;0;0 
623286;1;1;0;142;0;3 
622952;1;0;0;109;0;0 
630869;1;3;0;201;0;0 
625805;1;0;0;110;0;0 
623984;1;2;0;147;0;0 
624700;1;0;0;113;0;0 
625131;1;2;0;161;0;0 
626294;1;0;0;111;0;0 
625025;1;2;0;158;0;0 
622999;1;0;0;118;0;0 
623972;1;2;0;146;0;0 
625755;1;0;0;112;0;0 
625175;1;2;0;135;0;0 
622899;1;0;0;110;0;0 
627006;1;2;0;139;0;0 
622553;1;0;0;118;0;0 
624742;1;3;0;186;0;0 
627210;1;1;0;127;0;0 
626707;1;2;0;130;0;0 
622520;1;0;0;108;0;0 
625601;1;2;0;135;0;0 
622064;1;0;0;106;0;0 
626941;1;2;0;134;0;0 
625375;1;0;0;109;0;0 
626057;1;2;0;140;0;0 
624983;1;2;0;188;0;0 
625349;1;2;0;139;0;0 
625178;1;1;0;130;0;0 
627413;1;2;0;144;0;0 
625060;1;0;0;110;0;0 
626589;1;2;0;126;0;0 
627550;1;0;0;114;0;0 
627080;1;2;0;144;0;0 
622630;1;0;0;117;0;0 
624705;1;2;0;143;0;0 
623066;1;0;0;111;0;0 
623831;1;2;0;143;0;0 
623431;1;0;0;111;0;0 
627005;1;2;0;141;0;0 
622371;1;0;0;109;0;0 
626542;1;2;0;146;0;0 
624568;1;0;0;120;0;0 
627772;1;2;0;144;0;0 
625940;1;0;0;107;0;0 
626406;1;2;0;135;0;0 
627006;1;1;0;196;0;0 
624564;1;2;0;147;0;0 
626811;1;0;0;114;0;0 
625803;1;2;0;135;0;0 
625204;1;0;0;117;0;0 
623940;1;2;0;148;0;0 
623743;1;0;0;111;0;0 
626602;1;2;0;149;0;0 
624017;1;0;0;112;0;0 
627850;1;2;0;161;0;0 
625212;1;0;0;110;0;0 
625136;1;3;0;202;0;0 
625289;1;1;0;133;0;0 
623965;1;2;0;146;0;0 
623689;1;1;0;126;0;0 
627812;1;1;0;130;0;0 
622669;1;1;0;139;0;0 
627014;1;1;0;130;0;0 
625347;1;1;0;123;0;0 
626406;1;1;0;128;0;0 
628567;1;1;0;122;0;0 
625381;1;2;0;164;0;0 
627680;1;0;0;118;0;0 
625280;1;0;0;118;0;0 
624887;1;1;0;126;0;0 
629522;1;1;0;133;0;0 
623729;1;2;0;137;0;0 
623214;1;0;0;119;0;0 
623261;1;2;0;137;0;0 
623493;1;0;0;110;0;0 
627782;1;2;0;125;0;0 
626220;1;1;0;128;0;0 
626465;1;2;0;160;0;0 
623401;1;0;0;106;0;0 
625122;1;2;0;152;0;0 
626768;1;0;0;117;0;0 
626997;1;2;0;163;0;0 
623399;1;0;0;114;0;0 
626101;1;1;0;123;0;0 
