CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
23396549;1;42;0;2748;0;696 
23405800;1;42;0;5880;0;2146 
23406538;1;42;0;5094;0;1315 
23396877;1;42;0;2686;0;751 
23410505;1;42;0;7087;0;2008 
23398172;1;42;0;2699;0;780 
23397507;1;42;0;3185;0;870 
23399399;1;43;0;3996;0;1306 
23396643;1;42;0;2725;0;793 
23405851;1;42;0;6298;0;2421 
23396475;1;43;0;2814;0;757 
23403786;1;42;0;4368;0;1100 
23407204;1;42;0;6755;0;2841 
23405723;1;42;0;5350;0;1303 
23396982;1;42;0;3382;0;1132 
23411368;1;41;0;6934;0;1880 
23401169;1;42;0;3960;0;1148 
23405423;1;42;0;4761;0;1267 
23396230;1;42;0;2460;0;673 
23398137;1;42;0;2864;0;806 
23402038;1;42;0;4638;0;1299 
23397457;1;42;0;3237;0;1142 
23404054;1;42;0;4667;0;1203 
23394624;1;42;0;2496;0;668 
23404152;1;42;0;4895;0;1686 
23405786;1;42;0;4688;0;1164 
23413853;1;42;0;7260;0;1853 
23404136;1;54;0;4251;0;995 
23400801;1;41;0;3874;0;1121 
23407055;1;42;0;6880;0;2976 
23398503;1;42;0;2641;0;683 
23397505;1;42;0;3773;0;1179 
23408774;1;42;0;6905;0;2126 
23408915;1;42;0;6147;0;2168 
23411245;1;48;0;6420;0;2230 
23404911;1;42;0;4482;0;899 
23394879;1;42;0;2444;0;730 
23399208;1;42;0;3288;0;1101 
23401268;1;42;0;4217;0;971 
23397963;1;42;0;3067;0;806 
23399566;1;42;0;2564;0;659 
23402080;1;42;0;3840;0;968 
23398730;1;42;0;3154;0;981 
23417417;1;42;0;8274;0;2577 
23399744;1;42;0;3069;0;816 
23427429;1;42;0;11142;0;3989 
23402595;1;42;0;3970;0;1054 
23406090;1;42;0;4627;0;1053 
23415911;1;42;0;8050;0;2654 
23395871;1;44;0;2707;0;731 
23396121;1;43;0;3216;0;1147 
23395996;1;42;0;2609;0;642 
23429709;1;41;0;12421;0;4342 
23399817;1;42;0;3348;0;804 
23413186;1;42;0;7185;0;2624 
23426667;1;42;0;11927;0;4104 
23407811;1;42;0;6544;0;2649 
23400592;1;42;0;3984;0;1105 
23401191;1;41;0;3160;0;1046 
23407759;1;42;0;5224;0;1131 
23402516;1;42;0;4399;0;1231 
23425254;1;42;0;10422;0;3335 
23397967;1;42;0;2524;0;678 
23394910;1;42;0;2607;0;706 
23401313;1;42;0;3490;0;844 
23400862;1;42;0;3885;0;1006 
23398194;1;42;0;3380;0;821 
23396303;1;42;0;2584;0;732 
23428024;1;42;0;10338;0;3045 
23396733;1;42;0;2635;0;649 
23397240;1;42;0;2431;0;650 
23396981;1;42;0;3066;0;1160 
23395480;1;42;0;2620;0;772 
23401825;1;42;0;3652;0;1050 
23395455;1;42;0;3071;0;1070 
23399767;1;42;0;3964;0;1396 
23400635;1;42;0;3291;0;998 
23399321;1;42;0;2677;0;770 
23397257;1;42;0;3273;0;980 
23408215;1;42;0;4655;0;1176 
23405986;1;42;0;6084;0;2272 
23396203;1;42;0;2630;0;669 
23409694;1;42;0;7019;0;2656 
23396547;1;42;0;2582;0;779 
23395500;1;42;0;2700;0;724 
23409723;1;42;0;7054;0;2039 
23408803;1;42;0;6761;0;2014 
23396684;1;42;0;2710;0;698 
23396489;1;42;0;3347;0;1216 
23397829;1;41;0;2655;0;680 
23397115;1;42;0;3495;0;1382 
23397844;1;43;0;2690;0;798 
23403955;1;42;0;4404;0;1180 
23396663;1;41;0;3046;0;905 
23408466;1;42;0;5410;0;1417 
23397326;1;42;0;3393;0;1041 
23403227;1;42;0;4258;0;848 
23408031;1;42;0;6579;0;2610 
23395065;1;42;0;2625;0;818 
23406482;1;42;0;4843;0;1505 
23412226;1;42;0;7442;0;2329 
23404043;1;42;0;3949;0;1195 
23395707;1;42;0;2599;0;762 
23396602;1;42;0;2639;0;720 
23395423;1;42;0;2562;0;676 
23398485;1;42;0;3016;0;1071 
23435259;1;42;0;12610;0;4349 
23396049;1;42;0;2581;0;660 
23412809;1;42;0;7208;0;2013 
23401408;1;42;0;2525;0;689 
23397191;1;42;0;2495;0;650 
23426693;1;42;0;10446;0;3500 
23395481;1;42;0;3066;0;1061 
23395444;1;42;0;3056;0;1075 
23407093;1;42;0;6701;0;2573 
23413411;1;55;0;6031;0;2165 
23411294;1;42;0;5825;0;1515 
23416195;1;42;0;7546;0;2340 
23394556;1;41;0;2668;0;783 
23407762;1;46;0;3953;0;1199 
23440704;1;66;0;10912;0;4057 
23401259;1;42;0;3815;0;1044 
23397152;1;42;0;2663;0;813 
23411229;1;42;0;5537;0;1342 
23398924;1;42;0;3570;0;1021 
23413700;1;42;0;7517;0;2300 
23398606;1;42;0;3475;0;1049 
23400099;1;42;0;2592;0;640 
23406144;1;42;0;6320;0;2366 
23395219;1;42;0;2655;0;775 
23396927;1;42;0;2640;0;687 
23400748;1;42;0;3192;0;896 
23398999;1;42;0;3690;0;1121 
23394879;1;43;0;2628;0;842 
23407047;1;42;0;6080;0;2214 
23395186;1;42;0;3139;0;1189 
23397738;1;42;0;2818;0;856 
23401259;1;42;0;3050;0;920 
23400177;1;43;0;2714;0;869 
23401281;1;42;0;4205;0;953 
23409081;1;42;0;6739;0;2673 
23399882;1;42;0;2795;0;737 
23405948;1;42;0;6303;0;2306 
23399628;1;41;0;3633;0;1113 
23402177;1;42;0;4388;0;1364 
23397153;1;42;0;3213;0;801 
23396777;1;42;0;2927;0;752 
23397341;1;42;0;3071;0;835 
23415151;1;42;0;8148;0;2865 
23430154;1;42;0;10451;0;3317 
23401391;1;42;0;3899;0;714 
23394815;1;42;0;3006;0;951 
23398289;1;42;0;3652;0;1200 
23397276;1;42;0;3178;0;744 
23409816;1;42;0;5484;0;1247 
23401939;1;42;0;4314;0;902 
23412587;1;42;0;5745;0;2233 
23397614;1;42;0;3188;0;1029 
23397196;1;42;0;2828;0;750 
23406350;1;42;0;6494;0;2424 
23414709;1;42;0;7096;0;2299 
23398367;1;45;0;3332;0;1052 
23403555;1;42;0;5920;0;2187 
23400856;1;42;0;3311;0;944 
23395029;1;42;0;2999;0;1116 
23402392;1;42;0;4185;0;1271 
23403182;1;41;0;4162;0;895 
23396152;1;42;0;2435;0;646 
23414095;1;42;0;7773;0;2397 
23400122;1;42;0;3026;0;774 
23396397;1;42;0;2616;0;690 
23423557;1;42;0;9764;0;3144 
23395799;1;42;0;2603;0;652 
23431417;1;42;0;11152;0;3655 
23400372;1;47;0;3825;0;1203 
23402094;1;43;0;4451;0;1327 
23416987;1;42;0;8037;0;2085 
23405831;1;42;0;6075;0;2115 
23396370;1;42;0;3591;0;1486 
23396884;1;42;0;2708;0;831 
23397743;1;42;0;2676;0;814 
23399084;1;42;0;3678;0;983 
23412899;1;41;0;7033;0;2371 
23398593;1;42;0;3172;0;811 
23401001;1;42;0;4219;0;1252 
23394907;1;41;0;3264;0;1225 
23410273;1;42;0;6223;0;2237 
23405991;1;42;0;6534;0;2599 
23410380;1;42;0;6770;0;2034 
23399431;1;42;0;3249;0;1233 
23397271;1;42;0;2544;0;600 
23401838;1;42;0;4292;0;1004 
23408670;1;42;0;4621;0;1170 
23400096;1;42;0;3215;0;912 
23412119;1;41;0;5772;0;1614 
23404416;1;42;0;4507;0;1166 
23400235;1;41;0;3185;0;910 
23397135;1;42;0;2759;0;747 
23393835;1;42;0;2860;0;901 
23399558;1;42;0;3935;0;1243 
23407017;1;42;0;5220;0;1474 
23396738;1;42;0;2530;0;654 
23400581;1;54;0;2720;0;774 
23405016;1;42;0;4636;0;1172 
23396180;1;42;0;2693;0;774 
23396789;1;42;0;2691;0;745 
23396657;1;42;0;2521;0;650 
23396244;1;42;0;2709;0;728 
23401604;1;42;0;4117;0;1056 
23398692;1;42;0;3463;0;883 
23400082;1;42;0;4023;0;1317 
23395451;1;42;0;2903;0;879 
23396192;1;42;0;2781;0;879 
23397259;1;42;0;2767;0;763 
23407109;1;42;0;5882;0;2235 
23402581;1;42;0;4790;0;1350 
23394890;1;42;0;2589;0;766 
23407832;1;42;0;4730;0;1168 
23400140;1;42;0;3380;0;1047 
23394984;1;42;0;2553;0;790 
23428322;1;42;0;12007;0;4231 
23401703;1;42;0;3906;0;1086 
23397758;1;42;0;3427;0;1055 
23401283;1;41;0;3984;0;927 
23401130;1;42;0;4145;0;985 
23395783;1;42;0;2736;0;799 
23395366;1;42;0;2702;0;817 
23401849;1;42;0;4058;0;1044 
23397419;1;42;0;2638;0;870 
23406198;1;42;0;4295;0;965 
23395566;1;42;0;2420;0;622 
23399299;1;42;0;3280;0;906 
23428177;1;42;0;10895;0;3731 
23398137;1;42;0;3203;0;819 
23405513;1;42;0;6015;0;2069 
23400154;1;41;0;3643;0;954 
23397608;1;42;0;2604;0;722 
23395283;1;42;0;2671;0;874 
23419513;1;42;0;8367;0;2217 
23398822;1;41;0;3403;0;1050 
23396080;1;42;0;3003;0;1087 
