CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
36478;0;28;0;18239;0;28 
35391;3;44;0;17696;0;32 
35049;5;32;0;17525;0;12 
35198;3;36;0;17599;0;24 
35103;6;40;0;17551;0;16 
37230;4;52;0;18615;0;36 
36020;5;44;0;18010;0;24 
35212;4;36;0;17606;0;20 
35535;4;28;0;17767;0;12 
35336;3;48;0;17668;0;36 
35611;2;32;0;17805;0;24 
36513;3;32;0;18257;0;20 
36293;7;48;0;18147;0;20 
35360;6;44;0;17680;0;20 
36276;1;28;0;18138;0;24 
35212;3;32;0;17606;0;20 
36149;5;56;0;18075;0;36 
36398;4;52;0;18199;0;36 
35334;3;40;0;17667;0;28 
35069;3;32;0;17535;0;20 
35514;5;56;0;17757;0;36 
35399;8;80;0;17699;0;48 
36554;3;40;0;18277;0;28 
35467;4;40;0;17734;0;24 
36175;5;44;0;18087;0;24 
35092;2;24;0;17546;0;16 
35201;2;20;0;17600;0;12 
35263;4;40;0;17631;0;24 
36059;3;24;0;18029;0;12 
35287;6;40;0;17644;0;16 
36154;3;40;0;18077;0;28 
37060;0;52;0;18530;0;52 
35350;2;32;0;17675;0;24 
35237;8;56;0;17618;0;24 
35277;4;32;0;17638;0;16 
35058;2;32;0;17529;0;24 
36574;6;84;0;18287;0;60 
36116;4;36;0;18058;0;20 
36080;1;24;0;18040;0;20 
35148;6;44;0;17574;0;20 
36344;6;52;0;18172;0;28 
36146;6;64;0;18073;0;40 
35374;6;52;0;17687;0;28 
36414;6;56;0;18207;0;32 
35080;6;44;0;17540;0;20 
35220;4;36;0;17610;0;20 
35073;3;24;0;17537;0;12 
35307;1;28;0;17654;0;24 
35563;4;40;0;17781;0;24 
35217;4;36;0;17608;0;20 
36043;6;84;0;18021;0;60 
35356;3;32;0;17678;0;20 
35330;3;32;0;17665;0;20 
35386;4;40;0;17693;0;24 
36426;2;36;0;18213;0;28 
35077;5;32;0;17538;0;12 
35396;4;56;0;17698;0;40 
35022;6;44;0;17511;0;20 
35192;0;16;0;17596;0;16 
35514;3;44;0;17757;0;32 
37974;6;60;0;18987;0;36 
35263;8;60;0;17631;0;28 
36337;5;76;0;18169;0;56 
35590;4;44;0;17795;0;28 
35671;7;72;0;17836;0;44 
35991;6;44;0;17995;0;20 
36396;2;36;0;18198;0;28 
35174;3;28;0;17587;0;16 
35444;4;84;0;17722;0;68 
35212;3;40;0;17606;0;28 
35832;5;48;0;17916;0;28 
38648;4;80;0;19324;0;64 
35544;2;64;0;17772;0;56 
35198;4;48;0;17599;0;32 
35122;3;40;0;17561;0;28 
36510;6;52;0;18255;0;28 
36701;3;36;0;18350;0;24 
35198;1;20;0;17599;0;16 
36161;1;32;0;18080;0;28 
36568;4;40;0;18284;0;24 
35464;3;28;0;17732;0;16 
35442;2;44;0;17721;0;36 
35357;0;36;0;17678;0;36 
35256;3;28;0;17628;0;16 
36500;2;28;0;18250;0;20 
35699;5;56;0;17850;0;36 
36213;7;44;0;18106;0;16 
37407;6;44;0;18703;0;20 
35146;5;40;0;17573;0;20 
35543;5;48;0;17771;0;28 
36354;4;40;0;18177;0;24 
36081;4;44;0;18040;0;28 
35289;5;48;0;17644;0;28 
35347;2;36;0;17674;0;28 
35411;0;24;0;17705;0;24 
35170;3;40;0;17585;0;28 
35021;1;16;0;17511;0;12 
36450;4;44;0;18225;0;28 
35160;1;28;0;17580;0;24 
35360;1;44;0;17680;0;40 
35374;6;68;0;17687;0;44 
35865;3;32;0;17933;0;20 
35386;1;24;0;17693;0;20 
36549;6;60;0;18275;0;36 
35118;2;24;0;17559;0;16 
35818;3;40;0;17909;0;28 
35536;2;40;0;17768;0;32 
36438;5;44;0;18219;0;24 
35304;3;32;0;17652;0;20 
38001;1;24;0;19000;0;20 
35406;3;32;0;17703;0;20 
35601;3;32;0;17800;0;20 
35175;3;52;0;17587;0;40 
36056;4;52;0;18028;0;36 
36508;8;56;0;18254;0;24 
37031;4;40;0;18516;0;24 
35919;8;56;0;17960;0;24 
36558;4;40;0;18279;0;24 
35803;5;40;0;17901;0;20 
35494;1;32;0;17747;0;28 
35216;4;40;0;17608;0;24 
36369;5;40;0;18184;0;20 
35487;7;52;0;17743;0;24 
35182;3;44;0;17591;0;32 
36161;3;28;0;18080;0;16 
35992;3;44;0;17996;0;32 
35232;4;32;0;17616;0;16 
35523;6;56;0;17761;0;32 
35501;1;24;0;17751;0;20 
36281;2;40;0;18140;0;32 
35496;2;24;0;17748;0;16 
36951;6;48;0;18475;0;24 
35483;8;60;0;17742;0;28 
36228;5;56;0;18114;0;36 
37346;2;28;0;18673;0;20 
35547;4;32;0;17774;0;16 
35228;2;36;0;17614;0;28 
35383;3;40;0;17691;0;28 
36343;3;48;0;18171;0;36 
38118;6;52;0;19059;0;28 
35274;4;32;0;17637;0;16 
35350;4;52;0;17675;0;36 
35051;2;24;0;17526;0;16 
39064;5;56;0;19532;0;36 
35948;4;32;0;17974;0;16 
35074;5;36;0;17537;0;16 
35977;2;32;0;17989;0;24 
36394;1;32;0;18197;0;28 
35044;5;48;0;17522;0;28 
35340;5;64;0;17670;0;44 
35374;4;44;0;17687;0;28 
35882;3;40;0;17941;0;28 
36310;2;32;0;18155;0;24 
35469;3;40;0;17734;0;28 
35202;2;28;0;17601;0;20 
35623;3;36;0;17811;0;24 
35703;6;100;0;17851;0;76 
36661;1;20;0;18331;0;16 
36325;2;72;0;18162;0;64 
35443;4;48;0;17722;0;32 
35367;4;40;0;17683;0;24 
35270;1;60;0;17635;0;56 
35047;2;20;0;17524;0;12 
35201;2;40;0;17600;0;32 
36074;4;40;0;18037;0;24 
35958;2;24;0;17979;0;16 
35548;4;36;0;17774;0;20 
36352;3;32;0;18176;0;20 
37484;5;68;0;18742;0;48 
35653;3;60;0;17826;0;48 
35337;2;48;0;17669;0;40 
35660;6;52;0;17830;0;28 
35964;6;40;0;17982;0;16 
35244;2;24;0;17622;0;16 
36447;4;64;0;18223;0;48 
35445;9;48;0;17722;0;12 
35867;5;44;0;17933;0;24 
36028;5;40;0;18014;0;20 
35247;2;28;0;17624;0;20 
35836;4;40;0;17918;0;24 
35714;5;40;0;17857;0;20 
35606;3;52;0;17803;0;40 
35343;7;48;0;17672;0;20 
35493;0;36;0;17747;0;36 
35318;2;32;0;17659;0;24 
36352;2;48;0;18176;0;40 
35397;5;72;0;17698;0;52 
35830;1;24;0;17915;0;20 
36258;4;52;0;18129;0;36 
35815;2;24;0;17908;0;16 
35956;1;20;0;17978;0;16 
35283;6;48;0;17641;0;24 
35108;6;40;0;17554;0;16 
36038;5;52;0;18019;0;32 
35498;1;28;0;17749;0;24 
35186;2;32;0;17593;0;24 
36120;5;52;0;18060;0;32 
35196;4;36;0;17598;0;20 
35201;4;28;0;17601;0;12 
36312;4;40;0;18156;0;24 
35484;2;68;0;17742;0;60 
36081;7;72;0;18040;0;44 
35371;5;44;0;17686;0;24 
36414;5;52;0;18207;0;32 
35311;4;48;0;17656;0;32 
35432;6;44;0;17716;0;20 
35091;6;52;0;17546;0;28 
35221;1;20;0;17610;0;16 
36129;4;36;0;18064;0;20 
36374;3;32;0;18187;0;20 
36329;1;28;0;18164;0;24 
36612;3;36;0;18306;0;24 
37955;7;52;0;18977;0;24 
36440;7;60;0;18220;0;32 
35249;3;28;0;17625;0;16 
36574;3;40;0;18287;0;28 
35238;4;32;0;17619;0;16 
35225;5;36;0;17613;0;16 
35762;5;36;0;17881;0;16 
36411;2;48;0;18206;0;40 
35078;1;16;0;17539;0;12 
35277;2;28;0;17638;0;20 
35352;3;32;0;17676;0;20 
36564;4;52;0;18282;0;36 
35079;4;28;0;17540;0;12 
36314;3;60;0;18157;0;48 
35426;4;40;0;17713;0;24 
35348;2;28;0;17674;0;20 
35514;7;60;0;17757;0;32 
36153;6;40;0;18076;0;16 
35231;3;60;0;17616;0;48 
35213;3;36;0;17607;0;24 
36416;3;72;0;18208;0;60 
35056;2;20;0;17528;0;12 
36639;2;40;0;18320;0;32 
35631;6;60;0;17815;0;36 
36526;3;36;0;18263;0;24 
36366;4;40;0;18183;0;24 
36318;4;44;0;18159;0;28 
35721;2;32;0;17860;0;24 
35576;6;52;0;17788;0;28 
35491;7;60;0;17745;0;32 
35476;3;32;0;17738;0;20 
35939;3;32;0;17970;0;20 
36365;4;52;0;18182;0;36 
35410;1;28;0;17705;0;24 
35740;4;32;0;17870;0;16 
35026;4;40;0;17513;0;24 
35207;1;32;0;17604;0;28 
35440;4;56;0;17720;0;40 
36332;6;40;0;18166;0;16 
35711;10;68;0;17856;0;28 
35719;10;68;0;17860;0;28 
35400;6;60;0;17700;0;36 
36190;5;40;0;18095;0;20 
35243;3;32;0;17621;0;20 
35417;4;44;0;17708;0;28 
35389;4;40;0;17695;0;24 
35451;4;36;0;17725;0;20 
35213;4;44;0;17607;0;28 
36313;4;44;0;18157;0;28 
36427;1;28;0;18214;0;24 
35452;5;40;0;17726;0;20 
35669;2;32;0;17834;0;24 
36337;6;48;0;18168;0;24 
35920;3;28;0;17960;0;16 
35283;5;56;0;17641;0;36 
35600;0;24;0;17800;0;24 
35076;4;28;0;17538;0;12 
35407;4;40;0;17704;0;24 
35599;3;28;0;17800;0;16 
35933;3;56;0;17967;0;44 
35121;6;48;0;17561;0;24 
36027;1;32;0;18014;0;28 
35378;1;24;0;17689;0;20 
35384;4;52;0;17692;0;36 
35598;5;64;0;17799;0;44 
35213;6;60;0;17607;0;36 
35543;5;68;0;17772;0;48 
35342;0;16;0;17671;0;16 
35341;4;56;0;17670;0;40 
36243;4;68;0;18122;0;52 
36050;8;68;0;18025;0;36 
35058;2;24;0;17529;0;16 
37586;5;48;0;18793;0;28 
35043;5;32;0;17522;0;12 
36431;5;36;0;18215;0;16 
35250;1;32;0;17625;0;28 
35239;5;44;0;17620;0;24 
35720;3;60;0;17860;0;48 
