CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
35330;0;3402;1;1;131;0 
35243;0;3402;1;1;129;0 
36277;0;3402;1;1;130;0 
35140;0;3402;1;1;130;0 
36264;0;3402;1;1;129;0 
35228;0;3402;1;1;126;0 
35412;0;3402;1;1;130;0 
35207;0;3402;1;1;129;0 
35517;0;3402;1;1;129;0 
36042;0;3402;1;1;129;0 
35971;0;3402;1;1;130;0 
35228;0;3402;1;1;131;0 
35469;0;3402;1;1;129;0 
35190;0;3402;1;1;128;0 
35529;0;3402;1;1;129;0 
35299;0;3402;1;1;130;0 
36073;0;3402;1;1;131;0 
36341;0;3402;1;1;126;0 
35044;0;3402;1;1;129;0 
35570;0;3402;1;1;129;0 
35195;0;3402;1;1;128;0 
35483;0;3402;1;1;128;0 
35294;0;3402;1;1;127;0 
35233;0;3402;1;1;129;0 
36163;0;3402;1;1;131;0 
35230;0;3402;1;1;127;0 
35160;0;3402;1;1;129;0 
35787;0;3402;1;1;130;0 
36994;0;3402;1;1;132;0 
37105;0;3402;1;1;130;0 
35421;0;3402;1;1;129;0 
36489;0;3402;1;1;129;0 
36968;0;3402;1;1;133;0 
35248;0;3402;1;1;130;0 
35353;0;3402;1;1;129;0 
36199;0;3402;1;1;132;0 
35071;0;3402;1;1;129;0 
35433;0;3402;1;1;126;0 
35202;0;3402;1;1;130;0 
35544;0;3402;1;1;127;0 
35353;0;3402;1;1;129;0 
35535;0;3402;1;1;129;0 
35436;0;3402;1;1;128;0 
36219;0;3402;1;1;129;0 
35757;0;3402;1;1;128;0 
36575;0;3402;1;1;129;0 
35361;0;3402;1;1;126;0 
35448;0;3402;1;1;133;0 
35509;0;3402;1;1;129;0 
36676;0;3402;1;1;129;0 
35173;0;3402;1;1;128;0 
35292;0;3402;1;1;129;0 
36742;0;3402;1;1;129;0 
35065;0;3402;1;1;128;0 
35409;0;3402;1;1;128;0 
36382;0;3402;1;1;129;0 
35356;0;3402;1;1;128;0 
35545;0;3402;1;1;127;0 
35340;0;3402;1;1;128;0 
35367;0;3402;1;1;131;0 
35454;0;3402;1;1;132;0 
35278;0;3402;1;1;128;0 
35138;0;3402;1;1;128;0 
35189;0;3402;1;1;126;0 
36311;0;3402;1;1;127;0 
36308;0;3402;1;1;126;0 
35514;0;3402;1;1;127;0 
35214;0;3402;1;1;130;0 
35358;0;3402;1;1;128;0 
35240;0;3402;1;1;127;0 
35780;0;3402;1;1;131;0 
36450;0;3402;1;1;125;0 
35257;0;3402;1;1;128;0 
35335;0;3402;1;1;129;0 
35403;0;3402;1;1;131;0 
35595;0;3402;1;1;130;0 
35269;0;3402;1;1;128;0 
35399;0;3402;1;1;128;0 
36557;0;3402;1;1;129;0 
35207;0;3402;1;1;128;0 
35360;0;3402;1;1;128;0 
37728;0;3402;1;1;128;0 
35467;0;3402;1;1;128;0 
35806;0;3402;1;1;127;0 
36137;0;3402;1;1;128;0 
36994;0;3402;1;1;127;0 
35362;0;3402;1;1;129;0 
35367;0;3402;1;1;128;0 
36241;0;3402;1;1;128;0 
35959;0;3402;1;1;129;0 
35347;0;3402;1;1;129;0 
37567;0;3402;1;1;126;0 
35075;0;3402;1;1;127;0 
35505;0;3402;1;1;129;0 
35823;0;3402;1;1;127;0 
35252;0;3402;1;1;130;0 
35199;0;3402;1;1;129;0 
35199;0;3402;1;1;127;0 
35219;0;3402;1;1;128;0 
35317;0;3402;1;1;129;0 
35210;0;3402;1;1;128;0 
35352;0;3402;1;1;128;0 
35532;0;3402;1;1;132;0 
35263;0;3402;1;1;129;0 
35351;0;3402;1;1;129;0 
36181;0;3402;1;1;129;0 
38071;0;3402;1;1;130;0 
35488;0;3402;1;1;130;0 
35327;0;3402;1;1;129;0 
